"nuts2","year","TED","ted_im"
"AT11",2009,15.5367726316193,15.5367726316193
"AT11",2010,17.0064718022533,17.0064718022533
"AT11",2011,17.1016309784955,17.1016309784955
"AT11",2012,15.6973156385945,15.6973156385945
"AT11",2013,17.9464016956338,17.9464016956338
"AT11",2014,18.100789125782,18.100789125782
"AT11",2015,NA,17.3824190449625
"AT11",2016,18.2276794677088,18.2276794677088
"AT11",2017,16.0291262987493,16.0291262987493
"AT11",2018,17.6694006090303,17.6694006090303
"AT11",2019,16.327399414294,16.327399414294
"AT11",2020,18.9863262434984,18.9863262434984
"AT12",2009,19.1935165245587,19.1935165245587
"AT12",2010,19.6398171221687,19.6398171221687
"AT12",2011,19.306673661173,19.306673661173
"AT12",2012,19.4232180764092,19.4232180764092
"AT12",2013,19.1811421925258,19.1811421925258
"AT12",2014,18.6961921788443,18.6961921788443
"AT12",2015,NA,19.5345843514249
"AT12",2016,19.2586713904843,19.2586713904843
"AT12",2017,19.456505993773,19.456505993773
"AT12",2018,19.6375763033755,19.6375763033755
"AT12",2019,19.7583769975613,19.7583769975613
"AT12",2020,20.7666493912868,20.7666493912868
"AT13",2009,21.7709001722807,21.7709001722807
"AT13",2010,21.9389017940231,21.9389017940231
"AT13",2011,21.3372034505605,21.3372034505605
"AT13",2012,21.1396266919239,21.1396266919239
"AT13",2013,21.2484778501261,21.2484778501261
"AT13",2014,21.65287173105,21.65287173105
"AT13",2015,NA,22.262898353428
"AT13",2016,21.7884484729804,21.7884484729804
"AT13",2017,22.0702978482302,22.0702978482302
"AT13",2018,22.3640119244195,22.3640119244195
"AT13",2019,22.7998339421414,22.7998339421414
"AT13",2020,23.4041417474267,23.4041417474267
"AT21",2009,16.5449436305829,16.5449436305829
"AT21",2010,17.2653700930632,17.2653700930632
"AT21",2011,16.3349961895592,16.3349961895592
"AT21",2012,17.5019840027076,17.5019840027076
"AT21",2013,16.7369000242545,16.7369000242545
"AT21",2014,16.6972565871067,16.6972565871067
"AT21",2015,NA,17.3657712628717
"AT21",2016,16.6745930543542,16.6745930543542
"AT21",2017,17.1393304884437,17.1393304884437
"AT21",2018,18.396229650109,18.396229650109
"AT21",2019,18.3092417028786,18.3092417028786
"AT21",2020,18.5607331028482,18.5607331028482
"AT22",2009,19.5912977585613,19.5912977585613
"AT22",2010,18.531205452413,18.531205452413
