"nuts2","year","flow_in","flow_out"
"IE06",1982,1,4
"UKH1",1982,33,104
"UKH2",2013,272,411
"BE21",2016,32,31
"DEA2",2016,181,162
"FRJ2",2017,44,55
"NL33",2004,24,28
"HR05",2019,99,140
"ES11",2014,132,186
"PT11",2001,132,111
"BE31",2001,6,7
"UKH1",2003,14,36
"FRK1",2018,63,66
"FR10",2022,5,5
"DK01",2022,25,16
"PL51",2012,14,17
"PL61",2012,16,10
"UKH3",2010,169,264
"BE25",2017,21,8
"PT15",2011,9,5
"SE12",1997,49,30
"ES51",1988,15,25
"NO08",1988,4,1
"UKL2",2006,21,18
"DE94",2021,17,19
"RO42",2006,51,205
"RO11",2006,15,6
"CZ07",2017,64,33
"FRG0",2010,280,601
"UKK4",2017,52,53
"FRG0",2008,121,123
"FRD2",2009,7,10
"NO08",2011,17,18
"HU33",2017,84,61
"CH06",2014,8,6
"ES62",2014,41,45
"ITH4",2015,32,61
"DK05",2015,223,156
"UKC2",2013,162,218
"UKL1",2013,36,73
"PT20",2017,55,54
"LT01",2018,99,135
"RO32",2015,19,24
"ES51",2008,120,96
"BE24",2009,32,39
"BE35",2016,104,92
"ITH5",2000,48,52
"SE21",2008,14,15
"DE91",2001,10,10
"FRD1",2001,15,1
"FRE1",2001,41,56
"BE23",2008,33,29
"BE10",2008,53,26
"CH02",2012,70,97
"ITF2",2018,35,24
"FRJ2",2019,413,405
"ITF3",2008,77,155
"ITG2",2008,1,3
"UKK4",2007,286,247
"HU11",2019,53,80
"DE50",2009,36,41
"PL51",1997,2,1
"UKK2",2006,12,16
"UKJ1",2006,44,37
"DED2",2001,31,12
"AT12",2012,35,39
"CH04",2003,18,31
"PT17",2018,64,17
"DE73",2015,685,380
"BE31",2019,585,482
"FRC2",2019,31,34
"CH01",2009,25,29
"UKK1",2006,742,902
"UKH2",2006,66,52
"ITI4",2013,105,163
"SE11",1989,65,54
"SE12",1989,4,5
"PT30",2017,8,7
"NL11",1971,0,1
"NL22",1971,19,18
"RO11",2013,192,289
"HU11",2013,573,638
"ES52",2011,85,96
"ES52",2005,187,189
"DEG0",2000,12,1
"PT16",2000,37,24
"CH01",2008,61,58
"EL63",2011,55,60
"UKM5",2011,65,107
"DE72",1994,16,21
"ITC1",2008,36,25
"ITC2",2008,1,3
"ES51",1990,8,10
"ES13",1990,4,0
"BE10",2017,72,83
"HU12",2013,42,152
"DE94",2002,8,17
"ES13",2017,82,60
"PL41",2016,43,50
"UKM5",2005,18,26
"HR05",2006,151,210
"FRF3",2011,51,34
"UKM6",2012,9,0
"LV00",2015,6,7
"ITH5",1985,4,4
"UKC1",2015,43,44
"UKD7",2021,1728,2009
"BE32",2009,9,5
"DEG0",2011,24,30
"DEE0",2011,16,20
"UKD4",2015,60,65
"PL22",2010,56,155
"PL61",2010,17,20
"FRG0",2005,488,245
"FRJ2",2005,738,1206
"ITI1",2000,11,17
"UKC1",2011,286,391
"SE31",2017,29,16
"ITC3",2019,49,46
"FRK1",2020,16,16
"ES30",1990,50,47
"ES42",1990,15,0
"FRF3",2008,24,34
"FRF2",2008,5,1
"AT31",2008,5,2
"UKD4",2018,92,92
"CH03",2005,30,19
"ITF1",2021,17,14
"UKJ4",1997,26,14
"UKD7",1997,10,8
"ITC4",1990,16,13
"ITH3",1990,3,8
"UKK1",2013,259,224
"CH02",2015,44,24
"CH03",2017,340,221
"UKK4",1985,11,1
"BE25",2021,215,152
"UKD4",2013,22,33
"EL63",2019,15,31
"UKG3",2021,99,135
"UKL2",2012,972,1045
"HR06",2020,8,2
"EL65",2019,52,40
"IE06",2005,24,14
"ITI3",2016,34,43
"DE24",2014,630,703
"PT11",2004,24,10
"FI19",2017,92,66
"UKD3",1999,21,26
"CH03",2001,5,8
"CH04",2001,37,30
"PL43",2012,2,3
"ITG1",2011,28,13
"ITI3",2011,31,54
"ES30",2003,279,209
"UKM8",2021,50,55
"DE13",2016,86,92
"DE91",2011,26,24
"DE27",2019,121,133
"AT22",2014,24,20
"NO06",2013,20,7
"DED5",2003,18,13
"DEG0",2003,31,90
"UKJ1",1988,16,13
"FRL0",2005,21,15
"IE05",2017,49,33
"SE22",2015,198,220
"NL12",2019,73,90
"DK05",2014,144,217
"NL31",2012,37,56
"DE26",2016,38,40
"CZ01",2013,76,62
"CZ05",2013,26,8
"DEB1",2020,12,6
"PL21",2018,272,230
"HU33",2019,23,15
"ITF2",2020,3,6
"BE24",1992,11,60
"SE31",2015,23,22
"BE23",2011,161,127
"UKM7",2011,50,55
"UKD7",2011,58,60
"DED5",2010,19,18
"ITF6",2017,73,136
"UKI0",1971,12,29
"UKD7",1971,4,0
"PL21",1986,0,12
"PL91",1986,5,12
"SE22",1999,83,120
"DEC0",1998,7,15
"AT33",1998,3,1
"SI04",2017,45,46
"DE27",2011,5,2
"DEB3",2010,43,54
"RO32",2021,15,14
"UKJ4",2011,80,153
"ITH4",1982,1,1
"ITH5",1982,1,6
"UKH3",2016,154,189
"FRG0",2012,210,152
"FRE1",2012,65,84
"UKL1",2021,60,97
"DEB2",2020,168,85
"PT18",2016,37,10
"DEA1",1988,5,1
"DEA2",1988,4,1
"FRJ1",2019,98,123
"CZ03",2011,25,19
"CZ01",2011,27,17
"FI1B",2007,27,39
"FI19",2007,10,20
"CH07",2016,68,48
"DEC0",1996,3,2
"DEA5",1996,4,3
"FRF2",2014,10,17
"UKG1",2005,330,406
"CH05",2005,2,2
"FRD1",2019,31,38
"NO08",2012,36,17
"CH05",2020,43,38
"FRC2",2013,8,7
"ES21",2015,30,30
"BE24",2002,10,15
"FR10",1980,4,14
"ITH1",2013,21,28
"UKM5",1986,2,2
"HU32",2006,1,4
"FRB0",2016,494,343
"PL62",2013,30,21
"PL22",2013,19,32
"UKI0",1995,28,35
"UKC2",1995,27,28
"PL41",2021,380,305
"DE21",1989,4,7
"DEB3",1989,2,1
"ES42",2005,198,56
"DED5",2012,39,49
"PL22",2012,11,8
"DE71",2003,11,11
"EL41",2003,1,14
"FRB0",2008,260,224
"PT30",2012,11,6
"ITF6",2007,9,28
"ITG1",2007,22,24
"UKM8",1990,27,34
"FRE1",2021,29,26
"SE23",2012,145,84
"ITI1",2010,48,69
"DEB3",2004,41,48
"CZ03",2016,344,259
"FRE1",2011,19,12
"ES12",2005,52,50
"CZ01",1996,48,113
"CZ03",1996,2,0
"NO0A",2014,390,227
"NO08",2014,186,130
"UKJ3",2010,234,222
"FRJ2",2000,8,7
"FI1D",2012,92,63
"ES22",2014,48,39
"SE33",2017,145,155
"FRJ1",1989,20,15
"FR10",1989,81,120
"NO09",2013,23,20
"DEG0",2004,55,45
"DED5",2014,64,53
"BE23",2002,39,27
"CH04",1995,6,6
"IE06",2003,91,69
"IE05",2003,76,50
"AT22",2018,289,270
"FRF3",2002,13,48
"DEG0",2015,60,54
"NL33",1994,330,300
"CZ03",2019,66,50
"DE72",2011,121,110
"FRJ2",1974,0,2
"ES51",1974,15,7
"FRK2",2021,192,175
"AT13",2005,16,14
"AT31",2005,11,6
"NO02",2021,10,4
"CH03",1987,1,76
"FRC2",2006,1,5
"RO32",2000,14,18
"ES24",2021,16,23
"ES41",2021,200,165
"LU00",2017,101,48
"FI1B",1991,85,28
"UKK3",2021,8,7
"PT11",2007,549,260
"ES13",2016,53,60
"LT02",1980,5,1
"LT01",1980,1,1
"ES23",2015,19,24
"BE25",2018,46,36
"DE71",1981,1,1
"DE11",2000,7,6
"FI19",2013,64,143
"FI1B",2013,139,84
"IE06",2009,200,185
"UKF1",1993,8,4
"EL54",2010,33,48
"UKD3",1978,60,61
"EL30",1978,29,0
"FRE1",2002,10,8
"FRB0",2013,12,17
"DEA5",2005,153,137
"DE13",2005,10,4
"CZ01",2017,93,70
"DK04",2020,106,96
"BE31",2004,5,21
"UKH2",2004,25,12
"ES52",2010,65,48
"BE22",2018,119,153
"NL32",1977,1,3
"NL31",1977,2,0
"ITI4",2008,88,111
"ITF2",2008,7,2
"ITH2",2014,8,5
"ITI1",2009,192,218
"DE21",1996,7,10
"CZ05",2018,15,11
"SE22",2021,136,102
"DE72",1997,136,405
"FRJ1",2001,67,81
"FRL0",2003,14,10
"UKL1",2017,51,57
"PL63",2014,19,16
"UKD1",2014,554,276
"UKH1",2005,40,80
"NL41",2015,32,34
"IE06",2010,131,217
"IS00",2017,71,51
"UKJ4",2012,14,13
"PL22",2016,19,21
"PL91",2006,161,163
"PL62",2006,70,102
"DK04",2013,180,125
"UKH3",2006,7,10
"FRF1",1995,6,11
"FRH0",1995,43,42
"ES70",2013,8,10
"DEF0",2014,132,201
"DE50",2014,27,20
"DE72",2021,27,27
"FRF1",2017,258,295
"EL43",2011,22,30
"FRH0",2001,16,6
"UKC2",2021,62,73
"FRK2",2008,26,29
"UKN0",2005,12,11
"DE71",2014,84,77
"SE21",2004,49,54
"ES53",2015,36,55
"AT31",2021,13,12
"PL21",2002,11,8
"UKF1",2004,79,68
"PT11",2003,385,569
"ES11",2003,24,21
"EL63",2013,10,15
"BE33",2013,27,16
"CH04",2009,38,47
"PT17",2013,32,55
"ES13",2009,120,1
"NO09",2017,51,30
"FRL0",1998,65,41
"BE10",2011,32,23
"DE22",2020,72,46
"RO42",2020,17,12
"PL82",2014,30,15
"ITF6",2011,1,9
"DEA2",2000,8,15
"DEA5",2000,5,6
"RO32",2012,15,15
"ES52",2009,126,139
"ITH1",2017,224,141
"DK03",1999,4,3
"CH07",2011,3,2
"NL31",1994,4,5
"CZ02",1994,1,0
"DE21",2003,14,26
"AT33",2003,7,4
"DEA1",2007,8,6
"DE40",2015,82,39
"ITI3",2014,63,114
"DE73",2018,56,85
"UKM7",2007,832,1028
"EL63",2006,5,4
"SE21",1989,12,9
"DEA5",2015,156,235
"FRI3",2015,136,225
"CZ08",2007,4,3
"CZ07",2007,15,12
"NL42",2017,35,41
"EL61",2020,78,53
"DE92",2012,58,48
"UKG3",1995,20,28
"UKE3",1995,12,16
"RO11",2003,2,7
"CZ08",2015,24,11
"CZ07",2015,20,12
"UKC1",1999,32,17
"UKK1",2007,25,42
"UKE4",2023,0,3
"UKK2",2023,3,0
"EL43",1997,27,10
"DEG0",2008,17,15
"DE24",2021,18,17
"HR05",2018,21,60
"HR03",2018,57,14
"NL41",2017,35,44
"CZ01",1974,1,1
"CZ03",1974,1,2
"RO21",2012,19,40
"UKM8",2011,33,35
"NL42",2021,29,22
"NO0A",2016,34,24
"PL52",2017,13,16
"ITH1",2014,18,12
"DE60",2008,261,260
"UKJ3",2013,720,822
"DE91",1979,3,4
"DE60",1979,1,5
"ITF2",2022,0,1
"ITF3",2022,2,0
"UKE2",2020,154,171
"PL52",2015,54,11
"DE72",1972,1,0
"DE11",2020,477,407
"UKE1",2021,71,98
"DEC0",1999,3,3
"DEG0",1999,4,2
"NL33",2011,51,36
"DE13",2014,22,33
"UKM7",1985,12,26
"UKC2",1985,4,6
"UKF2",2008,0,1
"DE72",2018,176,287
"UKE1",2011,9,6
"PL71",2000,22,24
"NO09",2020,19,7
"PT18",1990,1,2
"PT30",2018,4,12
"BE21",2002,101,20
"UKD7",2012,2277,2901
"UKD4",2012,22,33
"PT15",2008,10,15
"ES43",2017,53,48
"AT22",2020,119,108
"ITH3",2012,19,23
"ITG1",2016,13,27
"NO08",2010,440,521
"UKN0",2009,90,128
"NL21",2012,238,273
"FRJ2",2010,229,300
"CH02",2010,103,66
"FRC2",2005,4,5
"DE25",2019,942,800
"NL31",1990,7,6
"SE11",1990,25,30
"LT02",2019,46,24
"BE22",2019,21,14
"DK03",2019,28,27
"DE14",2000,16,17
"FI1B",1993,3,2
"UKK2",1993,6,5
"PL71",1995,38,58
"PL52",1995,2,1
"NL31",2013,66,72
"NL33",1971,2,1
"DEB2",1988,1,0
"SK01",2006,5,3
"CZ05",2006,7,2
"UKK2",1989,4,1
"UKF1",1989,6,1
"EL41",2020,31,36
"SK04",2016,20,37
"CZ06",2004,63,106
"ES62",2018,34,32
"UKD4",2009,13,14
"RO32",2018,63,46
"AT32",2014,27,34
"NL22",2003,429,314
"NL31",2003,22,36
"PT18",2013,99,70
"DE21",2006,16,21
"DE94",2016,98,132
"FRD1",2018,67,90
"DE14",2021,920,898
"BE24",1989,3,2
"FRD1",2003,2,11
"FRB0",2003,21,8
"DE94",2015,18,10
"BG41",2014,28,27
"BG33",2014,70,39
"UKM8",2006,66,127
"UKE3",2006,313,360
"ES11",1996,28,2
"FR10",1972,9,12
"PL72",2021,3,4
"ES11",2002,12,14
"ES12",2020,26,32
"PL82",2019,13,9
"DEA5",1999,10,3
"DE11",1997,8,8
"DEA4",2019,29,32
"NL32",2005,10,18
"CY00",2021,70,80
"DE91",2002,40,30
"DE91",2003,43,77
"RO22",2015,3,2
"DEF0",1994,8,5
"NO08",1994,6,2
"PT18",1999,2,3
"ES62",1999,25,12
"CH05",2013,10,8
"IE05",1998,6,19
"UKG3",1998,14,15
"DE40",2019,70,52
"UKD4",2021,162,152
"DE92",2017,102,109
"CH06",2017,12,6
"DE50",2017,37,41
"ITI4",2007,25,30
"ITF3",2007,14,21
"UKE1",2012,11,17
"PT11",2000,36,28
"ITF4",2012,10,11
"ITI3",2012,46,90
"ES62",2021,84,81
"FI1C",2019,129,88
"BE31",1996,7,2
"BE10",2006,10,14
"DEG0",2013,36,25
"PL81",2000,4,3
"SK04",2000,1,1
"UKL1",2005,368,645
"FRL0",2009,24,18
"FRL0",2007,24,15
"DE71",1993,51,35
"DEG0",1993,1,0
"EL63",1978,1,0
"FRK2",1995,88,66
"FRJ1",2015,166,132
"ES12",2021,13,12
"PT16",1998,154,122
"PT17",1998,90,261
"BE33",1993,0,4
"ES70",2011,13,4
"UKK2",2021,364,391
"SE33",2016,144,74
"SE23",1993,2,2
"SE11",1993,8,8
"DEB3",2014,27,25
"DE80",2017,264,243
"UKK1",2002,100,132
"FRJ2",2003,20,18
"DE24",2018,25,29
"LU00",2005,6,4
"DK01",2002,55,48
"DK03",1986,0,6
"EL30",2006,23,16
"IE04",2013,8,12
"FRF1",2003,319,318
"SI03",2016,2,5
"FR10",1995,16,30
"UKD3",1988,190,63
"FRD1",2012,6,9
"ES61",1989,20,22
"ES43",1989,2,0
"NO07",2015,144,39
"AT33",2016,287,240
"EL43",2017,101,294
"SE33",2015,106,115
"BE23",2010,50,101
"LV00",2012,1,6
"DED2",2010,12,33
"DEG0",2010,213,390
"SE22",2011,783,469
"SE21",2011,21,20
"UKL2",2004,12,10
"UKD6",2004,4,3
"UKK2",1996,24,13
"UKE4",1996,35,14
"EE00",2014,162,181
"UKM7",1990,11,16
"RO11",2020,33,36
"LU00",2021,48,33
"ES43",2004,5,2
"DEA2",1979,4,2
"FRJ2",2020,156,166
"DE91",2012,23,21
"FRJ2",2012,22,29
"RO31",2019,5,18
"RO32",2019,69,102
"AT21",2019,16,10
"CH06",2019,73,36
"ITI3",2017,52,78
"ES41",2004,26,18
"IE05",2023,0,1
"UKG1",2007,66,54
"UKF1",2007,300,196
"AT33",2008,6,2
"AT31",2012,9,5
"EE00",2010,4,2
"CZ02",2009,9,4
"DE23",2008,6,4
"CZ08",2016,8,10
"FRJ2",2006,48,48
"UKH1",1995,299,540
"DE71",1976,2,1
"DE25",1976,1,0
"UKD4",2022,0,3
"EL30",2010,180,256
"ES61",2006,156,90
"ES12",2010,7,8
"ES11",2010,13,12
"DED4",2021,8,9
"FRI2",2009,3,7
"CH03",2004,49,32
"UKH1",1981,36,38
"UKJ1",1981,18,32
"UKD7",2001,12,13
"EL41",2002,1,1
"SE22",1993,4,4
"DEB2",2018,8,8
"FRB0",2006,39,36
"RO42",2013,3,7
"UKM5",2021,598,461
"ES13",2019,33,40
"ES53",2021,4,10
"RO32",1998,7,6
"RO12",1998,18,15
"ES21",2004,6,8
"NL22",1998,28,40
"BE31",2017,73,74
"DE94",2017,22,19
"DEB1",2017,177,220
"AT21",2014,4,5
"RO32",2017,28,37
"FRJ2",2001,27,39
"FRK1",1993,160,106
"ES70",2016,144,110
"ES70",2006,6,3
"ITG2",2014,48,33
"RO22",2014,21,15
"NL22",1992,5,5
"NL31",1992,4,2
"CH04",2002,42,86
"SI04",2013,28,37
"PL21",2000,8,6
"PL22",2000,50,18
"ITC4",2013,114,139
"ITG1",2013,14,17
"SK01",1980,2,1
"SK03",1980,1,0
"PL81",1992,2,5
"ES22",2016,58,38
"PL51",2008,40,21
"UKM8",2000,15,23
"CZ01",2012,79,63
"ITI1",2013,44,82
"PL84",2012,21,4
"PL72",2012,3,4
"UKL1",1999,66,31
"UKM6",1999,1,0
"MT00",2010,169,63
"UKM7",2005,24,32
"AT12",2010,19,6
"CZ02",2006,0,5
"CZ03",2006,8,21
"FRI2",2017,9,10
"NL11",2009,11,10
"EL30",2009,9,13
"FRF1",1994,91,72
"HR05",2008,5,18
"PL42",2007,0,7
"PL51",2007,57,64
"SK01",2018,69,92
"CH01",1990,27,22
"FRG0",1990,6,2
"UKJ3",1994,6,8
"ITH2",2019,43,32
"CZ05",1996,4,0
"SE12",1983,55,23
"PT20",2018,12,15
"DE92",1994,6,9
"UKJ4",1995,2,2
"ITH4",2003,8,9
"ITF1",2003,5,2
"NL31",2007,462,505
"DE72",2016,171,190
"ITH4",2016,104,174
"PL21",1985,0,25
"BG41",1985,5,1
"ITF1",2017,135,102
"DEA2",1984,5,8
"UKJ1",1993,50,47
"LT01",2009,3,7
"LT02",2009,8,0
"SK04",2018,10,21
"UKE2",2011,21,20
"UKE1",1987,0,2
"SE31",2013,240,321
"SE23",2013,66,30
"NL33",2001,48,48
"SI03",2006,30,1
"HR03",2006,49,16
"NL11",1993,3,8
"IE05",2010,210,286
"SK02",2012,6,3
"UKM5",2019,750,1152
"PL92",2020,4,9
"FRF3",2014,190,292
"DE14",1996,10,21
"UKK4",1994,1,4
"UKE1",1994,11,0
"UKJ2",1994,8,4
"LT01",2013,36,19
"CH01",1993,68,80
"DE40",2009,93,100
"UKE4",2006,486,514
"ES41",2002,451,329
"ES52",2002,408,259
"BE32",2014,4,3
"UKN0",2004,25,41
"UKE4",2004,43,90
"UKD6",2015,16,11
"CY00",2007,22,3
"NO07",2016,45,46
"SK01",2016,41,56
"PL71",1998,5,11
"SE22",2008,12,14
"UKJ3",2021,216,211
"BE10",2021,490,421
"DEE0",2021,53,54
"BE21",2006,16,25
"ITC4",2006,239,350
"HU32",1985,0,1
"CH01",1985,12,33
"ITF3",1997,9,16
"BE10",1991,30,19
"BE23",1991,1,13
"NL11",2014,130,156
"ES70",2015,36,38
"ES62",2010,20,13
"ES42",2010,37,28
"UKJ2",1986,27,5
"FRI3",2008,18,31
"DE40",2004,6,9
"PT17",2008,20,8
"DEC0",2019,20,36
"IE06",2008,27,18
"NL21",1995,13,18
"PL71",2016,22,16
"UKH1",1983,12,19
"UKI0",1983,21,20
"RO32",2016,78,64
"UKD1",2018,13,5
"FRL0",1980,9,7
"UKH1",1996,56,57
"UKN0",2014,151,144
"UKJ4",2014,50,39
"UKE3",1982,54,82
"UKK1",1982,1,1
"UKE3",1993,296,236
"EL30",1991,5,5
"UKF1",1991,5,6
"DE91",1985,1,4
"DE72",1985,2,10
"ES24",2017,282,378
"CZ05",2016,55,52
"UKK1",2005,51,80
"PL22",2014,135,117
"DE91",1963,0,1
"LU00",2016,172,80
"CY00",2009,124,60
"DE60",2014,34,23
"UKE2",2012,28,24
"FRL0",2010,26,28
"BG34",2018,4,1
"AT22",1998,4,5
"ES22",2011,90,71
"EL54",2019,9,15
"BG41",1973,1,0
"DE11",2021,111,92
"PT18",2004,11,12
"UKG1",2003,154,211
"DK02",2013,70,58
"FRF3",2005,10,48
"ES13",2013,12,28
"DK01",1992,2,6
"FRG0",2021,54,46
"IE06",1978,22,23
"DK01",1978,6,5
"PT18",2017,26,8
"UKG2",2012,8,11
"ES62",2017,46,57
"NL31",2009,15,21
"BE10",2000,144,157
"BE31",2000,25,56
"FI1B",2012,55,46
"RO21",2016,55,36
"RO31",2016,2,2
"AT12",2015,16,10
"FRJ1",1988,3,5
"RO42",1990,1,2
"DE21",1990,5,3
"UKN0",2010,12,13
"UKF3",1991,19,0
"EL65",2016,34,69
"EL61",2016,29,84
"SE31",1996,2,0
"UKN0",2021,62,75
"BE10",2012,740,441
"PL41",2015,68,93
"AT12",1995,0,1
"DE40",2014,526,672
"SK01",2019,51,46
"DEA5",2004,56,169
"DE72",2003,9,12
"DK03",2015,16,31
"DED5",1988,0,3
"PT16",1988,12,8
"ITH3",2000,48,97
"ITG1",2000,21,28
"EL52",2021,126,163
"ITH5",2008,42,52
"ITC3",2008,29,42
"BE31",1980,35,0
"ES22",2021,299,185
"DEA1",1995,0,11
"DE40",1995,5,1
"RO32",2020,2596,3661
"PL62",2017,6,9
"BE24",2008,85,100
"PL51",2005,24,42
"PL52",2005,32,20
"UKD3",2010,91,123
"CY00",2015,29,22
"UKE1",2003,21,100
"ITF6",1997,3,3
"ITI4",1997,11,15
"HU31",2017,23,16
"DE72",1975,0,1
"DE12",1975,10,18
"FRI1",1992,4,4
"FRJ1",1992,16,6
"DE30",1997,12,13
"PL91",2001,20,23
"PT15",2019,44,53
"CH04",2010,75,96
"DED4",2001,7,6
"DE30",1985,28,16
"UKJ3",2015,102,102
"FRK2",2004,132,188
"FRB0",2004,3,3
"DE91",2008,21,15
"UKE4",2008,705,800
"PL42",2016,9,10
"UKL2",2009,18,18
"CH01",1994,48,70
"IE04",2018,95,93
"PL63",1994,1,2
"ITH5",2011,19,27
"UKD7",1995,190,168
"CH01",2001,1672,533
"HU11",2004,29,52
"FRE2",2015,56,45
"DE11",2012,96,140
"BG31",2019,2,2
"DE91",2009,72,82
"DED4",2009,11,8
"CY00",1997,22,7
"UKG1",2012,70,92
"UKC1",2013,85,108
"SK01",2013,5,14
"SK02",2013,6,10
"ES30",1988,44,54
"ES11",1988,9,0
"PT18",2018,120,130
"DE12",1993,3,7
"EL61",2021,48,81
"DE13",2001,14,85
"BG41",2017,21,16
"UKL1",2008,17,26
"UKE3",1996,71,130
"UKG3",1997,26,28
"DE21",2010,26,31
"UKL2",2001,21,18
"ES52",2003,14,10
"ES42",2003,14,0
"MT00",2020,20,14
"DEB2",2010,1,1
"DE14",2010,1481,2072
"ITC3",2021,304,389
"AT12",2019,257,304
"PL72",2006,18,8
"AT13",2013,313,175
"NL32",1978,7,8
"SI04",2007,6,15
"SI03",2007,3,4
"DEA2",2008,24,33
"CH02",2008,17,11
"ITF4",1993,7,18
"DED5",2009,7,8
"DK01",2009,162,105
"SI04",2003,2,4
"PL91",2008,27,21
"CZ06",2006,90,121
"SE31",2006,65,16
"DEA5",2011,116,90
"FRH0",1996,12,25
"BG32",2011,3,10
"DEB1",2019,13,2
"ITH2",2017,19,25
"ES13",2018,23,18
"HU12",1973,0,1
"HU11",1973,1,1
"NL21",2010,9,8
"SE33",2010,11,12
"UKD7",2006,172,192
"DE30",2004,96,177
"DK02",2004,9,8
"CZ03",2017,34,9
"CZ06",1995,0,7
"CZ07",1995,5,0
"ITG1",2019,76,69
"IE06",2002,108,159
"DE50",2013,265,429
"SE23",1998,12,15
"ITH4",2008,15,25
"FRD2",2018,323,460
"UKG1",1998,13,15
"UKD4",2002,14,9
"UKD1",2002,4,0
"PL63",2017,272,144
"ES30",1982,7,5
"DE92",1982,2,0
"FRB0",2000,8,25
"FRJ1",2016,528,534
"PL84",2018,28,16
"ITF2",1992,0,1
"ITI4",1992,25,27
"UKG3",2005,11,21
"ES12",2016,18,26
"FR10",1982,7,10
"FRK2",1982,143,188
"ITI1",2003,273,354
"ITH5",2003,23,28
"UKF3",2020,3590,3726
"PL43",2019,80,104
"LT01",1992,0,5
"LT02",1992,4,3
"UKH2",2021,12,10
"SE21",1997,8,7
"ES30",2008,180,142
"ES22",2008,97,95
"NO0A",2015,71,54
"IS00",2011,1100,301
"NO06",2011,97,60
"UKE1",2014,12,19
"DK01",2000,72,75
"UKK4",1991,25,6
"NO06",1986,0,1
"NO09",1986,1,0
"NL11",2005,97,12
"DEG0",2017,50,40
"BE25",2013,19,18
"UKD3",1979,42,106
"UKM7",1979,4,5
"ES42",2009,20,10
"ES61",2009,30,21
"NL21",2013,40,35
"DEC0",2013,166,99
"DEF0",2005,121,216
"ES43",2018,24,32
"EL43",2021,30,25
"UKM5",1985,4,5
"DE30",2011,85,90
"ES62",2016,17,27
"DEA2",2003,9,18
"UKE4",1981,1,3
"NO07",2017,115,83
"ITC2",2017,1,3
"ES24",2014,68,57
"AT22",2005,13,8
"DEC0",2016,44,65
"ITH3",2013,272,417
"DE80",2013,21,26
"PT15",2002,68,335
"RO32",2013,26,42
"FI1C",2021,28,16
"AT34",2016,7,3
"FRG0",2015,27,29
"UKH3",2017,36,29
"ITC3",2012,80,131
"UKG2",2013,13,15
"DE13",2004,28,107
"DE12",2004,32,45
"PL21",1992,2,4
"ES22",2001,25,24
"DED2",2012,19,23
"ES11",2013,88,100
"UKJ2",1991,100,151
"UKD4",2005,24,25
"UKJ4",2005,166,120
"ES21",2012,52,28
"UKH2",2015,44,39
"UKH1",1990,11,24
"CY00",2014,19,16
"LI00",2017,2,2
"FRF3",2010,18,31
"LV00",1996,1,2
"NL22",1996,31,0
"CH01",1997,10,5
"PT20",2016,6,5
"UKH2",2001,27,46
"SE12",1991,3,2
"DK01",1991,5,4
"ES52",2004,161,160
"ITF3",2010,65,81
"ES21",1996,7,12
"ES24",2002,7,4
"ES51",2002,461,260
"ITG2",2017,581,667
"UKH1",1977,15,26
"UKG3",1977,7,3
"IE06",2006,58,54
"UKE2",1998,7,9
"AT12",2014,72,37
"FI1C",2014,14,15
"NL41",2006,295,539
"BE10",1995,24,16
"BE21",1995,2,1
"HR05",2013,96,397
"ES51",1982,56,15
"PL42",2008,3,13
"IS00",2021,97,66
"PL41",2006,30,32
"PL81",2006,20,72
"UKJ4",1996,18,10
"ITC4",1992,7,11
"ITH5",1992,13,20
"CZ01",2009,15,14
"ITI4",2009,163,150
"UKF2",2011,24,0
"HU12",2012,28,36
"UKF1",1999,15,15
"DE60",2000,6,8
"DE40",2000,5,2
"HU12",2015,14,19
"HU11",2015,35,48
"DE21",2002,75,61
"CH03",2002,9,5
"UKH3",1999,37,42
"ITI1",2008,59,75
"ITF5",2008,113,56
"SE33",2009,37,36
"NO07",2007,4,3
"FRB0",2014,96,89
"FRF1",2010,76,63
"UKD6",2012,21,20
"PL41",2020,273,216
"PL52",2020,20,10
"ITH1",2008,163,54
"DE80",1997,5,1
"ES21",1997,11,2
"FRE2",2005,7,10
"FR10",1988,10,19
"FRF3",1988,2,15
"EL63",2020,40,75
"DE24",2015,60,45
"UKM7",1972,3,3
"DEF0",1972,1,0
"FRB0",2010,16,20
"IE06",1991,28,6
"UKJ1",1991,74,80
"LU00",2018,136,93
"DK05",2009,4,7
"PL71",1996,63,22
"UKK1",2001,18,23
"UKE3",2001,17,22
"UKI0",1988,85,96
"DE14",2007,9,11
"DE12",2007,17,19
"PT16",1981,1,4
"PT11",1981,2,18
"UKM5",2014,23,33
"UKK3",2016,17,9
"UKI0",1997,172,161
"UKK2",2001,19,16
"PL63",2012,9,13
"ES70",2000,32,10
"PL61",2011,5,8
"PL63",2011,15,14
"UKJ3",2006,15,15
"FRG0",2001,273,352
"FRC1",2001,55,9
"RO32",1999,85,138
"RO41",1999,33,31
"UKI0",1968,72,127
"NO0A",2013,26,17
"NL22",1999,9,8
"AT13",2006,54,45
"AT12",2006,5,2
"HR05",2015,24,33
"ES23",2014,21,35
"FRJ1",2012,21,16
"PL63",1975,3,2
"FRF3",2021,37,45
"LU00",2009,31,0
"BE24",1995,40,28
"ES30",1989,9,12
"ES11",1989,7,1
"ES52",2006,46,30
"NO06",2018,90,71
"ITH4",2021,28,53
"DE92",2005,10,17
"DE30",2005,151,114
"SK03",2014,4,5
