"nuts2","year","flow_in","flow_out"
"UKC2",2001,9,8
"ITC4",2021,66,70
"ITI1",2021,1234,1125
"ES30",2016,5280,5513
"ES11",2016,75,70
"DE30",2017,942,800
"FRJ1",2017,504,676
"ITH3",2006,32,54
"ITI4",2006,97,120
"BE10",2019,464,393
"SE22",2019,12007,11310
"DE92",2015,150,127
"NO08",2017,229,180
"UKG3",2000,110,111
"UKF1",2000,17,15
"DK01",2019,777,720
"DE30",2019,148,112
"DK02",2015,22,32
"DE11",2018,53,52
"IE06",2016,99,69
"DE11",2017,46,43
"NL41",2018,86,86
"ITC4",2005,66,49
"ITI4",2005,217,228
"UKJ3",2002,24,29
"ES61",2011,385,356
"ES30",2011,77,51
"ES51",2017,435,393
"SE12",2001,9,8
"FRH0",2021,45,50
"PL91",2013,26,33
"PL61",2013,19,5
"FI1B",2017,225,148
"FI1C",2017,523,456
"ITH3",2017,784,859
"ITC4",2017,98,97
"UKJ1",2016,1422,1280
"PL21",2013,20,19
"DE12",2013,34,53
"FRJ2",2013,27,39
"PT16",2021,178,231
"FRI2",2018,12,43
"PT16",2015,442,252
"ES21",2016,185,200
"UKC1",2019,270,391
"DE92",2019,148,153
"ES51",2000,32,13
"ITC4",2019,19328,17820
"DEA1",2017,49,43
"ES30",2017,697,672
"NL31",2018,2109,2113
"NO09",2015,26,16
"NO08",2015,110,72
"UKI0",2011,195,214
"NL11",2020,690,515
"NL21",2020,71,72
"UKD3",2008,72,110
"UKI0",2008,321,320
"DED4",2018,39,57
"UKJ1",2003,33,42
"UKI0",2003,55,63
"UKG3",2018,79,66
"ITC1",2019,56,70
"UKE2",2019,2553,2345
"UKE4",2019,174,186
"DK03",2023,0,19
"ES61",2019,527,490
"IE05",2018,770,547
"PL81",2010,21,37
"UKC1",1996,15,22
"ITF4",2017,289,733
"ITF3",2017,39,41
"UKK2",2016,960,962
"UKH2",2016,42,46
"ITF4",2021,20,11
"NL21",2000,5,6
"NL22",2000,30,40
"ES41",2020,171,165
"ES21",2019,66,52
"DED2",2021,44,35
"NO0A",2021,140,85
"ITC1",2021,466,570
"DK01",2020,8658,7203
"NO06",2020,132,107
"DEA3",2020,698,696
"NL41",2021,175,188
"NL33",2021,6620,6525
"DEB3",2019,1332,1254
"ES51",2020,153,144
"SE22",2020,111,110
"CH04",2016,760,648
"ES41",2013,140,116
"UKD3",2014,156,132
"ITH5",2020,816,910
"SE11",2012,44,35
"SK01",2012,73,96
"ES61",2010,1254,1290
"ITF3",2019,228,181
"ITF2",2019,97,168
"UKM5",2015,161,200
"DE91",1996,85,196
"NO06",2019,201,172
"ITC1",2010,13,15
"UKM7",2018,106,132
"UKE3",2018,201,210
"ITC4",2015,132,175
"ITH5",2015,167,220
"NL22",2019,88,90
"UKH1",2013,74,81
"SE21",2005,72,64
"DEE0",2017,156,157
"DE14",2017,56,45
"HU23",2019,11,8
"ES22",2020,92,95
"ITG2",2020,95,116
"ITF3",2020,256,255
"ES21",2020,73,48
"DEF0",2011,920,737
"DE80",2011,13,27
"IE05",2001,10,5
"RO32",2001,47,184
"FRK1",2014,32,61
"UKC2",2014,364,255
"DEA2",2018,109,103
"RO42",2011,5,13
"RO32",2011,75,96
"DK01",2017,828,734
"DK05",2016,75,60
"DK04",2016,34,33
"ES30",2007,40,35
"ES24",2007,31,32
"DEA2",2021,72,69
"DE12",2010,114,108
"UKJ2",2004,24,36
"UKK4",2004,605,603
"UKI0",1992,28,29
"MT00",1992,16,28
"AT31",2017,16,24
"AT13",2017,111,84
"EL51",2020,12,15
"EL52",2020,479,544
"NL31",2014,124,128
"NL21",2014,175,234
"NL33",2018,120,102
"AT13",2018,729,606
"NO08",2020,361,240
"CH01",2006,36,33
"ITI1",2006,76,145
"FRL0",2020,228,229
"AT32",2019,558,435
"AT31",2019,201,192
"CH04",2021,72,108
"ES52",1996,122,60
"UKG3",1983,32,17
"UKJ2",1983,27,39
"UKI0",2017,552,551
"DE60",2017,377,354
"UKM7",2019,120,130
"DEA2",2014,62,54
"BE24",1999,30,21
"BE31",1999,2,2
"ITI3",2020,39,74
"ITC1",2020,734,900
"PL71",2014,13,10
"FRD2",2020,14,16
"NL11",2017,65,45
"DE91",2010,376,550
"ITI4",1994,80,151
"UKJ1",1994,67,54
"CH04",2020,248,230
"CZ06",2016,576,639
"CZ01",2016,137,88
"NL33",2019,119,124
"UKI0",2015,183,156
"UKK1",2019,355,330
"UKI0",2019,1353,1182
"FRE1",2019,47,40
"DK05",2019,64,66
"FRJ2",2018,56,67
"UKC2",2018,1425,1409
"DEF0",2020,60,63
"UKG3",2016,183,173
"FRE1",2005,9,18
"PT11",2010,56,71
"PT16",2010,631,420
"CH02",2013,26,25
"ES30",2014,58,102
"UKG1",2020,526,606
"DEA2",2013,1298,1082
"UKJ1",2004,29,37
"UKL1",2004,8,15
"BE10",2010,143,248
"BE32",2010,4,3
"ES51",1997,17,16
"HU11",2017,100,102
"HU21",2017,29,25
"FR10",1978,18,22
"LT01",2020,13,20
"BE10",2020,577,576
"CH01",2018,664,550
"ES52",2001,221,123
"ITF4",2005,27,22
"SI04",2005,205,238
"EL43",2015,420,631
"SE11",2015,68,66
"FR10",2017,288,330
"IE06",2017,539,365
"UKK1",2018,125,144
"DE21",2001,28,73
"DEG0",2001,7,12
"PT17",2017,21,21
"UKD3",2016,3569,3162
"PT11",2014,660,568
"UKD3",1997,372,590
"UKM7",1997,325,306
"DEA2",2012,720,689
"PT16",2013,246,232
"ES51",2013,277,304
"DK05",2005,3,4
"PL51",2014,240,444
"PL41",2014,102,98
"IS00",1980,0,1
"DK01",1980,4,1
"UKL2",2019,1952,2276
"CH04",2018,575,447
"SE22",2018,69,49
"UKD4",2019,43,58
"DEA3",1975,0,1
"DEA2",1975,3,4
"UKD7",2009,13,16
"FRH0",2016,248,273
"DEF0",2018,984,1040
"UKF1",2014,110,99
"PT16",2017,109,104
"DK04",2019,50,48
"UKM8",2018,372,352
"DK01",1995,47,20
"UKK2",2020,208,301
"DE71",2018,82,78
"ITG2",2019,1036,637
"ITI4",2019,590,636
"UKJ2",2015,51,61
"NL22",2015,817,912
"UKJ3",2016,1058,1239
"ES61",2016,65,92
"FRC2",2016,13,8
"ITH3",2014,182,272
"ITC4",2014,2004,2590
"DE13",2019,513,595
"ITI1",2022,3,2
"UKJ1",2022,106,21
"UKD3",2012,42,63
"DE50",2021,29,30
"NO0B",2021,1,10
"AT13",2015,720,624
"ES52",2015,61,40
"ES61",2017,390,436
"UKF1",2017,74,75
"ITH3",2016,102,169
"ITC1",2016,88,132
"ES51",2021,408,417
"ES30",2021,111,82
"DE50",2019,336,279
"UKK3",2018,18,11
"UKK4",2018,356,384
"UKI0",2004,58,79
"ES52",2012,26,31
"ITG1",2017,105,156
"FR10",2015,565,655
"UKH1",2015,3823,4232
"FRE2",2011,5,3
"ES61",2015,315,371
"MT00",2015,8,4
"UKJ2",2016,55,58
"UKC2",2016,54,54
"DE50",2020,212,230
"PT11",2018,237,216
"UKE3",2017,156,202
"SE22",2017,1141,1100
"UKJ1",1990,52,51
"ES61",2018,114,87
"PT20",2020,21,12
"BG41",1992,1,2
"UKD3",2021,250,298
"UKE4",2021,1407,1242
"BG41",2020,114,103
"BG33",2020,2,3
"NO08",2018,1752,1274
"UKK1",2016,1363,1629
"FRK2",2016,653,693
"UKI0",2021,464,459
"PL41",2009,36,21
"PL91",2009,371,304
"PT16",2014,280,322
"PT17",2014,94,33
"CH01",2020,1122,992
"RO21",2017,34,120
"DEA3",2018,28,27
"DE60",2018,230,189
"DEA5",2017,535,540
"DE91",2021,53,44
"NL41",2011,16,12
"DEA2",2019,122,121
"UKD3",2018,540,637
"UKM8",2017,180,130
"EL30",2012,464,874
"EL51",2012,7,15
"FR10",2005,294,298
"DE71",2019,149,174
"CH03",2019,664,556
"UKJ2",2018,287,276
"ES30",2020,369,455
"ITC4",2016,150,155
"UKM8",2016,288,281
"BE21",2017,94,75
"FRK1",2015,91,92
"IE05",2013,396,433
"BE23",2003,16,6
"FR10",1970,0,57
"UKG1",2018,6752,6816
"ITI1",2016,240,367
"UKM5",2012,84,115
"ES24",2019,444,330
"UKD3",2019,91,106
"UKG2",2019,47,54
"FRL0",2019,790,828
"BG42",1979,0,1
"BG41",1979,40,0
"CZ01",2018,3358,3543
"ITC4",2020,109,126
"ITC4",2018,1696,1905
"FRD1",2005,3,4
"NL32",2011,112,127
"NL22",2011,32,27
"UKJ3",1990,7,8
"DE91",2019,1314,1261
"ES52",2019,229,234
"ES61",2005,58,60
"UKC1",2016,812,957
"UKE4",2016,69,67
"NO0B",2020,16,17
"NO0A",2020,201,180
"PL91",2020,3927,2612
"BG41",2000,8,17
"BG42",2000,5,4
"SE11",2021,130,105
"SE23",2021,69,48
"ES23",2018,23,18
"DEG0",2018,89,82
"ITG1",2020,146,155
"UKF3",2019,54,82
"RO21",2013,5,7
"DEA1",2013,24,26
"BE21",2015,30,31
"BE10",2015,68,61
"SI04",2008,911,130
"DE23",2018,20,16
"HU11",2016,33,58
"UKE1",2016,25,54
"ES61",2021,81,56
"SE12",2021,49,55
"FRK1",2016,47,60
"IE05",2020,52,47
"CZ08",2005,2,3
"CZ07",2005,5,1
"DE92",2003,5,8
"UKE4",2018,170,160
"ITC1",2012,12,16
"FR10",2012,229,240
"AT33",2020,43,44
"PL21",2020,56,70
"UKH3",2013,18,22
"UKI0",2013,127,118
"UKM5",2020,79,114
"PT16",2016,116,115
"UKD7",2016,414,381
"UKG1",2016,1218,1185
"DE92",2011,72,117
"AT13",2011,65,68
"NL41",2020,38,69
"NL33",2020,581,510
"FRL0",2017,240,252
"SE12",2020,79,80
"LT01",2007,37,27
"FRJ2",2011,47,66
"UKD7",2019,78,75
"CH02",2018,496,425
"ES52",2018,658,693
"CH04",2019,268,208
"AT13",2019,127,117
"CZ01",2003,10,11
"SK03",2003,5,1
"DE11",2011,24,18
"DE40",2011,86,54
"NL11",2019,80,61
"SE12",2014,55,38
"FRE1",2016,36,34
"FRI3",2016,32,28
"FI19",2009,16,24
"FI1C",2009,9,3
"UKJ1",2002,34,26
"DE40",2021,5094,5226
"CH01",2019,852,875
"UKE4",2015,73,63
"PL51",2018,258,168
"PL43",2018,90,84
"FI1B",2015,123,110
"FI1D",2015,33,30
"BE25",2020,17,7
"PT11",2021,98,92
"ES52",2021,497,616
"PL42",2009,14,11
"PL43",2009,15,8
"UKM7",2020,112,151
"SE12",2018,261,244
"FRC1",2015,28,65
"UKE1",2018,20,23
"PL52",2014,71,20
"SE11",2014,62,47
"LU00",2019,595,312
"UKF1",2016,103,68
"UKL2",2018,174,202
"UKJ3",2019,126,215
"UKL1",2018,55,63
"FRL0",2021,43,45
"NL22",2013,35,36
"BE31",2015,23,25
"NL32",2019,107,100
"ITI3",2015,11,24
"UKM8",2020,2523,2730
"DE21",1998,22,17
"UKK2",1998,8,3
"PT16",2002,19,16
"UKN0",2006,23,14
"CH02",2016,141,103
"DEA5",2016,45,30
"PT11",2016,252,114
"EL43",2014,17,12
"SE22",2012,561,358
"UKM5",2008,192,258
"PL41",2019,181,180
"UKJ1",1995,235,216
"SE11",2013,481,387
"UKI0",2005,1145,1540
"IE04",2016,30,23
"EL52",2017,46,79
"SE12",2017,74,67
"AT33",2010,20,13
"AT31",2010,31,45
"EE00",2013,22,12
"FI1D",2017,116,105
"HU11",2018,54,51
"AT22",2019,490,461
"AT33",1995,5,6
"DE25",2018,49,39
"FRI1",2019,120,107
"SE31",2014,64,70
"FR10",2014,8924,10411
"ITH2",2016,48,54
"ITH1",2016,24,21
"ITH4",2014,16,23
"EE00",2018,1293,986
"UKH2",2018,30,26
"ES13",2020,24,25
"DE92",2014,38,39
"ES51",2005,608,446
"ES30",2005,39,28
"DE13",2018,200,292
"CH01",2017,6529,4845
"ES51",2007,98,62
"ES23",2020,180,207
"PT11",2008,42,24
"PT30",2008,4,0
"UKG3",2010,64,117
"ITH5",2014,73,106
"CH02",2011,85,48
"DED2",2020,702,826
"DE23",2020,2668,2159
"DE24",2004,150,376
"DED4",2004,4,12
"UKE4",2012,175,241
"CH04",2012,46,35
"UKD7",2005,244,198
"FI1C",2016,26,16
"UKL1",2020,136,162
"UKN0",2020,68,84
"UKD7",2003,162,199
"UKE2",2003,177,96
"ITH3",2020,79,90
"CZ01",2014,80,74
"UKJ1",1996,875,981
"UKF1",1996,4,5
"CY00",2019,220,124
"EL64",2018,12,13
"SE11",2020,224,185
"UKI0",2006,58,73
"ES53",2019,250,211
"PT15",2018,26,15
"DE11",2013,21,19
"UKJ1",2011,153,212
"UKG1",2011,34,41
"BE31",2020,2528,2845
"DE26",2020,82,93
"SE23",2019,50,42
"UKM8",1965,1,0
"DE92",2000,21,0
"DE21",2019,126,117
"BE31",2018,26,26
"NL21",2009,8,9
"UKJ1",2009,38,52
"UKH1",2012,118,132
"PL21",2019,168,142
"UKD3",1998,112,145
"FRI1",2017,41,46
"IE04",2017,64,46
"UKE2",2009,63,122
"UKE3",2003,101,110
"UKD4",2020,42,50
"ITF3",2018,760,1102
"NL32",2020,520,517
"NL22",2020,108,79
"ES23",2016,14,18
"UKD6",2020,44,38
"UKK1",2003,16,12
"CH01",2011,33,29
"UKJ3",2009,156,107
"DE92",2018,105,121
"DE24",2006,40,1
"DEA5",2006,111,176
"CH04",1969,0,2
"UKD3",2009,30,40
"UKE3",2009,103,80
"EL52",2016,29,82
"ES21",2014,308,298
"DE25",2017,240,176
"CH02",2017,129,82
"HR05",2016,90,94
"HR03",2016,30,5
"UKH1",2010,456,637
"PL52",2018,32,25
"CZ07",2018,84,50
"CZ02",2018,34,24
"CH03",2021,71,53
"ES70",2019,244,270
"EL43",2018,588,548
"CH05",2019,156,106
"DE21",2018,1232,1070
"PT11",2017,1102,1001
"ITF4",2018,286,460
"ES51",1993,36,29
"PL71",2018,234,326
"FRK2",2015,165,222
"ITH5",2019,81,79
"PL63",2007,12,4
"PL84",2007,1,6
"DEA1",2021,62,80
"DEB3",2021,30,34
"UKC1",2017,120,138
"AT31",1997,1,2
"DE11",1999,4,9
"NL42",2009,44,25
"CH02",2009,13,14
"FR10",2011,180,288
"FRC1",2016,32,29
"DEB3",2018,57,48
"FRF3",2013,43,28
"DED5",2011,32,41
"DEA2",2011,61,60
"NL31",2015,108,118
"IS00",2018,47,36
"UKM7",2021,124,163
"UKF1",2021,49,54
"IE06",2011,19,24
"IE05",2011,74,66
"PL91",1985,8,7
"PL91",2018,712,530
"PL61",2018,76,57
"DE14",2016,33,50
"UKJ2",2021,259,272
"UKM7",2012,44,69
"HU33",2018,285,212
"DEF0",2017,4410,4411
"DE23",2017,92,147
"DED2",2018,57,56
"EL63",2014,156,136
"EL30",2014,734,980
"ITF3",2015,24,43
"DK02",2017,14,30
"DEE0",2020,256,257
"DE91",2020,70,76
"NO06",2008,60,34
"NO08",2008,16,15
"DE12",2015,808,728
"FRH0",2019,44,67
"FRC1",2019,46,80
"DE21",2011,288,297
"ITC3",2018,194,175
"UKE3",2012,111,129
"EL52",2014,78,142
"FRH0",2015,135,181
"ES30",2010,83,82
"UKG3",2017,288,262
"NL22",2018,90,79
"DE91",2016,153,187
"DE60",2016,114,88
"DE12",2017,361,364
"ITC4",2011,1755,2733
"ITI1",2011,47,96
"UKL2",2011,680,961
"NL21",2021,248,201
"BE21",2021,71,66
"NO0A",2018,450,210
"UKH1",2007,31,48
"PL91",2007,106,91
"CH06",2021,105,44
"DE94",2018,47,52
"BE32",2018,16,21
"BE35",2018,19,22
"PL21",2017,38,44
"SE12",2006,17,15
"SE22",2006,320,848
"UKL2",2015,819,991
"UKE3",2015,676,700
"UKN0",2013,25,14
"IE06",2013,327,342
"UKN0",2016,38,39
"UKJ3",2014,42,41
"FRH0",2014,451,468
"RO11",1997,6,8
"RO32",1997,74,36
"ITI1",2014,144,212
"FRH0",2005,91,50
"BE35",2004,1,2
"SE21",2020,408,327
"SE23",2020,573,403
"UKH1",2020,12825,12345
"UKI0",1990,57,62
"BE24",2014,106,141
"FR10",2004,36,45
"FRE1",2014,29,37
"AT22",2011,27,22
"DEF0",2013,1141,1080
"ES22",2018,115,126
"FI1B",2016,2116,2170
"ES41",2014,4922,7493
"DE30",2020,125,118
"CH01",2010,170,159
"UKN0",2008,18,25
"BE24",2017,616,523
"NL33",2017,231,196
"DK01",2001,40,50
"ES30",2018,4060,4335
"UKH1",2014,81,125
"UKN0",2019,86,98
"EL53",2018,14,20
"UKD7",2018,700,639
"DE50",2018,51,55
"DE12",2018,203,188
"UKD7",2014,114,104
"DE25",2021,400,332
"PL43",2010,8,4
"PL91",2010,62,28
"UKJ1",1977,9,8
"UKK1",1998,35,41
"UKH1",1998,11,28
"UKJ2",2019,560,574
"DEA5",2019,130,112
"UKL2",1989,6,4
"PT16",1997,16,29
"PT11",1997,73,40
"DEG0",2019,50,47
"AT12",2020,136,154
"AT13",2020,163,107
"NL41",2004,2,10
"ES51",2004,100,51
"NL31",2020,284,279
"PT11",2015,288,443
"ITI1",2004,60,116
"ITH4",2004,14,48
"UKK2",2011,45,78
"UKK1",2011,4147,3996
"DE40",2005,7,5
"UKG3",1972,3,1
"IE04",2014,92,135
"PT17",2020,242,266
"ITI3",2008,29,21
"BE21",2018,559,395
"UKE4",2017,69,90
"UKL1",2014,36,36
"UKG3",2015,633,588
"DE14",2004,8,13
"CH01",2004,57,68
"ITH3",2005,36,32
