"sender","year","count"
"UKJ1","2004","37"
"BE10","2010","58"
"ES51","1997","16"
"HU11","2017","396"
"FR10","1978","15"
"LT01","2020","39"
"ES52","2001","228"
"ITF4","2005","15"
"EL43","2015","16"
"FR10","2017","330"
"DE21","2001","109"
"UKD3","2016","169"
"PT11","2014","51"
"UKD3","1997","20"
"DEA2","2012","955"
"ITH5","2015","2973"
"ITI4","2005","37"
"PL51","2014","180"
"IS00","1980","1"
"UKL2","2019","288"
"CH04","2018","447"
"UKJ1","2016","575"
"UKD4","2019","9919"
"DEA3","1975","1"
"UKD7","2009","58"
"UKF1","2014","459"
"PT16","2017","104"
"DK05","2019","153"
"ITG2","2019","25"
"UKJ2","2015","241"
"ES61","2016","92"
"ITH3","2014","44"
"DE13","2019","67"
"ITI1","2022","3"
"UKD3","2012","179"
"DE50","2021","349"
"AT13","2015","210"
"ES61","2017","958"
"ITH3","2016","57"
"ES51","2021","319"
"DE50","2019","49"
"UKK3","2018","20"
"UKI5","2004","79"
"ITG1","2017","32"
"FR10","2015","395"
"ES61","2015","1407"
"UKI5","2015","2505"
"UKJ2","2016","58"
"DE50","2020","572"
"PT11","2018","80"
"UKE3","2017","68"
"BE10","2020","101"
"ES51","2018","463"
"BG41","1992","4"
"UKD3","2021","180"
"BG41","2020","86"
"NO08","2018","320"
"UKK1","2016","173"
"FRJ2","2016","42"
"PL41","2009","909"
"PT16","2014","106"
"RO21","2017","43"
"DEA3","2018","927"
"UKD3","2018","233"
"EL30","2012","64"
"FR10","2005","88"
"CH03","2019","690"
"UKM8","2018","181"
"ES30","2020","455"
"ITC4","2016","309"
"UKM8","2016","212"
"BE21","2017","38"
"FRK1","2015","14"
"IE05","2013","25"
"FR10","1970","5"
"ITI1","2016","2703"
"UKM5","2012","39"
"UKD3","2019","106"
"BG42","1979","1"
"CZ01","2018","1079"
"ITC4","2020","336"
"ITC4","2018","358"
"FRD1","2005","52"
"NL32","2011","37"
"UKJ3","1990","169"
"DE91","2019","141"
"UKC1","2016","39"
"ES52","2016","69"
"NO0B","2020","9"
"PL91","2020","242"
"BG41","2000","5"
"SE11","2021","54"
"ES23","2018","63"
"DEF0","2018","766"
"UKF3","2019","1999"
"RO21","2013","19"
"BE21","2015","629"
"UKI5","2019","1026"
"DE23","2018","1306"
"HU11","2016","1255"
"ES61","2021","56"
"CZ08","2005","3"
"DE71","2018","695"
"ITC1","2012","76"
"AT33","2020","83"
"PL21","2020","543"
"UKH3","2013","22"
"IE06","2018","680"
"PT16","2016","4567"
"UKD7","2016","255"
"DE92","2011","459"
"NL41","2020","281"
"FRL0","2017","1740"
"SE12","2020","311"
"CH02","2018","54"
"CH04","2019","107"
"CZ01","2003","29"
"DE11","2011","18"
"FRE1","2016","130"
"FI19","2009","9"
"CH01","2019","205"
"PL51","2018","249"
"FI1B","2015","143"
"PT11","2021","47"
"PL42","2009","7"
"UKM7","2020","487"
"SE12","2018","376"
"FRC1","2015","81"
"SE22","2018","49"
"DE30","2019","5109"
"UKG1","2016","262"
"ES11","2016","76"
"UKL2","2018","1522"
"UKJ3","2019","397"
"UKM8","2017","452"
"FRL0","2021","45"
"BE31","2015","121"
"NL32","2019","590"
"ITI3","2015","176"
"DE21","1998","25"
"CH02","2016","35"
"SE22","2012","22"
"UKM5","2008","66"
"DE11","2019","52"
"UKI5","2013","472"
"IE04","2016","45"
"EL52","2017","2614"
"AT33","2010","7"
"EE00","2013","72"
"FI1D","2017","27"
"HU11","2018","51"
"AT22","2019","93"
"AT33","1995","86"
"FRI1","2019","213"
"SE31","2014","78"
"FR10","2014","128"
"ITH2","2016","102"
"ITH4","2014","86"
"UKJ1","2018","277"
"DE92","2014","96"
"ES51","2005","78"
"DE13","2018","1800"
"ES23","2020","185"
"PT11","2008","13"
"UKG3","2010","436"
"NL33","2020","810"
"DE24","2004","66"
"UKE4","2012","145"
"CH01","2005","134"
"UKD7","2003","12"
"ITH3","2020","90"
"UKK1","2018","358"
"UKJ1","1996","29"
"EL64","2018","7"
"SE11","2020","1095"
"UKI5","2006","73"
"ES53","2019","22"
"PT16","2018","120"
"DE11","2013","451"
"UKJ1","2011","688"
"BE31","2020","109"
"ES30","2005","57"
"SE22","2019","1538"
"IE05","2020","93"
"BE31","2018","26"
"NL21","2009","9"
"PL21","2019","236"
"UKD3","1998","109"
"FRI1","2017","46"
"UKE2","2009","54"
"UKD4","2020","50"
"ITF3","2018","1377"
"NL32","2020","117"
"FR10","2021","298"
"ES23","2016","27"
"UKH1","2015","204"
"UKL1","2020","637"
"CH01","2011","29"
"UKJ3","2009","22"
"DEA2","2017","655"
"DE92","2018","881"
"DE24","2006","1"
"CH04","1969","2"
"UKD3","2009","484"
"ES21","2014","82"
"DE25","2017","36"
"HR05","2016","49"
"UKH1","2010","266"
"PL52","2018","20"
"CZ07","2018","18"
"CH03","2021","308"
"EL43","2018","132"
"CH05","2019","293"
"DE21","2018","302"
"UKH1","2017","4121"
"FI1B","2020","2313"
"ITF4","2018","40"
"ES51","1993","15"
"PL71","2018","126"
"FRK2","2015","149"
"ITH5","2019","310"
"CH01","2017","300"
"PL63","2007","4"
"DEA1","2021","1679"
"UKC1","2017","534"
"DE11","1999","249"
"NL42","2009","109"
"FRC1","2016","253"
"DED5","2011","41"
"NL31","2015","157"
"ES61","2018","88"
"UKM7","2021","1603"
"IE06","2011","120"
"PL91","1985","205"
"UKK4","2018","65"
"PL91","2018","2090"
"UKJ2","2021","200"
"UKM7","2012","69"
"ITI4","2019","106"
"HU33","2018","16"
"DEF0","2017","99"
"DED2","2018","56"
"EL63","2014","76"
"DK02","2017","182"
"DEE0","2020","65"
"NO06","2008","9"
"IE06","2016","73"
"FRH0","2019","262"
"DE21","2011","186"
"DEA2","2018","726"
"UKE3","2012","45"
"EL52","2014","855"
"FRH0","2015","217"
"UKG3","2017","70"
"DE91","2016","980"
"ITC4","2011","885"
"UKL2","2011","25"
"NL21","2021","26"
"UKH1","2007","330"
"CH06","2021","224"
"BE32","2018","91"
"NL33","2021","77"
"PL21","2017","904"
"SE12","2006","15"
"UKL2","2015","51"
"DEA2","2021","342"
"UKN0","2013","102"
"UKN0","2016","39"
"PT11","2002","46"
"UKJ3","2014","41"
"UKE4","2015","192"
"RO11","1997","8"
"ITI1","2014","212"
"FRH0","2005","8"
"NL22","2018","475"
"BE35","2004","2"
"SE21","2020","327"
"UKH1","2020","219"
"ES22","2018","26"
"FI1B","2016","243"
"ES41","2014","178"
"DE30","2020","5203"
"CH01","2010","35"
"UKN0","2008","41"
"BE24","2017","68"
"DK01","2001","14"
"ES30","2018","187"
"UKH1","2014","380"
"DE50","2018","163"
"UKD7","2014","104"
"DE25","2021","662"
"PL43","2010","5"
"UKK1","1998","9"
"ES30","2017","275"
"UKJ2","2019","100"
"DEA2","2019","614"
"PT16","1997","549"
"DEG0","2019","277"
"AT12","2020","52"
"ITI1","2020","2119"
"NL41","2004","262"
"NL31","2020","589"
"PT11","2015","269"
"ITI1","2004","59"
"UKK2","2011","243"
"BE21","2018","125"
"UKE4","2017","264"
"DE14","2004","97"
"ITH3","2005","172"
"DE92","2001","10"
"ITH5","2004","29"
"FRF3","1985","11"
"ES30","1992","15"
"ITF6","2009","4"
"SE11","2019","90"
"UKG1","2014","391"
"FRF3","2018","59"
"FRG0","2017","1106"
"UKI5","2021","462"
"CH01","2020","866"
"AT22","2001","7"
"DED2","2015","289"
"ES13","2004","5"
"PL81","2019","43"
"ES51","2011","109"
