"sender","year","count"
"UKH2","2015","115"
"UKH1","1990","24"
"CY00","2014","434"
"LI00","2017","18"
"FRF3","2010","16"
"LV00","1996","3"
"FRK2","1997","242"
"UKH2","2001","21"
"FRF1","2018","91"
"SE12","1991","12"
"ES41","2004","17"
"ITF3","2010","353"
"ES24","2002","43"
"UKH1","1977","46"
"UKM7","1998","99"
"AT12","2014","13"
"BE10","1995","6"
"PT18","2004","9"
"HR05","2013","125"
"UKD3","2010","643"
"PT15","2011","9"
"CY00","2021","78"
"ES51","1982","5"
"PL42","2008","193"
"FI19","2017","281"
"PL41","2006","7"
"UKJ4","1996","4"
"UKJ4","2020","53"
"DE25","2002","50"
"ITC4","1992","11"
"ES13","2016","45"
"DEA4","2019","528"
"CZ01","2009","66"
"UKE3","2011","24"
"HU12","2012","6"
"UKF1","2009","722"
"UKG1","1999","23"
"NO08","2012","22"
"DE60","2000","106"
"DK05","2017","83"
"HU12","2015","19"
"PT18","2018","85"
"DE21","2002","13"
"FRB0","2014","89"
"FRF1","2010","18"
"UKD6","2012","20"
"DE80","1997","1"
"SI04","2018","726"
"NO07","2019","111"
"FRE1","2005","42"
"FR10","1988","444"
"PL61","2020","48"
"EL63","2020","30"
"DE24","2015","12"
"UKM7","1972","33"
"FRB0","2010","12"
"FI1C","2014","18"
"PL22","2013","64"
"DE40","2014","131"
"IE06","1991","3"
"DK05","2009","7"
"PL71","1996","8"
"UKK1","2001","12"
"DE14","2007","51"
"FRL0","2005","16"
"PT16","1981","4"
"UKK3","2016","93"
"UKI5","1997","121"
"PL63","2012","132"
"ES70","2000","14"
"UKN0","2019","97"
"PL61","2011","13"
"FRG0","2001","37"
"RO32","1999","34"
"ITH5","2005","59"
"UKI5","1968","78"
"PT18","2014","43"
"FRE1","2013","127"
"AT13","2006","17"
"HR05","2015","93"
"ES23","2014","90"
"FRJ1","2012","588"
"BE24","1995","10"
"ES30","1989","92"
"NO06","2018","121"
"ITH4","2021","29"
"DE92","2005","65"
"SK03","2014","137"
"ES51","2006","32"
"EE00","2021","49"
"HU11","2015","52"
"FRK1","2017","54"
"ITC3","1991","1"
"ITH4","2000","49"
"BG41","2006","78"
"UKC2","1991","4"
"BE31","2017","37"
"NL31","1989","17"
"RO11","2015","15"
"ITH4","2006","42"
"FRI2","2007","4"
"ES30","1987","13"
"SE33","2015","530"
"UKC1","1995","13"
"FR10","1992","25"
"UKJ1","2009","308"
"DE40","2018","157"
"NL41","2006","11"
"FI1D","2011","10"
"PT16","1999","15"
"ES22","1999","307"
"FI1C","2013","19"
"HU23","2016","16"
"NO08","2009","406"
"SE23","2002","4"
"UKM5","2004","111"
"ES12","2012","8"
"FRF2","2019","17"
"ES24","2009","47"
"PT16","1996","17"
"DEF0","2015","100"
"DE30","2011","91"
"SE31","2016","157"
"IE06","2006","104"
"UKD3","1975","3"
"ES21","2011","91"
"BG41","2015","100"
"CZ08","2017","11"
"ES52","2008","61"
"CH03","2004","8"
"ITI1","2005","274"
"DEA1","2019","233"
"DE71","2015","35"
"UKJ3","2015","51"
"CZ03","2020","101"
"UKK1","1996","57"
"UKG2","1967","1"
"UKI5","1983","42"
"FRI3","2019","107"
"UKD4","2007","99"
"FRJ1","2008","92"
"FRC1","2017","144"
"DK03","2010","6"
"FRD2","2019","307"
"DEB1","2014","2"
"DE24","2020","104"
"CZ01","1984","6"
"ES22","2005","12"
"BE10","1986","4"
"DE60","2008","55"
"FRJ1","1999","35"
"DE94","2007","15"
"ITC1","2007","13"
"UKE2","2020","4263"
"FRK2","1998","170"
"ITI1","2002","30"
"FI1C","2006","8"
"ES23","2015","591"
"FRE2","2016","145"
"UKH1","1987","49"
"AT12","2019","482"
"AT33","2013","15"
"SE22","2007","11"
"FRK2","1986","5"
"IE05","2003","77"
"CH03","2010","337"
"FRI1","1999","155"
"CZ06","2013","76"
"FRI3","2018","256"
"UKD7","2004","41"
"UKJ4","2019","67"
"BE24","2008","49"
"DEA5","2000","31"
"EL64","2020","17"
"CZ05","2004","10"
"ES42","2018","56"
"NL33","2000","35"
"NL23","2012","1"
"DED4","2015","52"
"DE14","1992","2"
"FRE2","2018","215"
"DEA3","2014","57"
"UKJ2","1985","14"
"UKG1","1994","30"
"DED5","2019","148"
"ES30","1977","123"
"FRJ1","2001","26"
"BG34","1995","1"
"PT16","1990","6"
"FI1D","2014","18"
"UKE3","2007","39"
"DK03","2022","54"
"DEG0","2015","132"
"DEB3","2021","68"
"ES24","1987","3"
"UKD3","2005","53"
"FRH0","2021","337"
"DK03","2020","101"
"NL21","1999","306"
"SE21","2000","537"
"DE72","1995","3"
"UKE1","2011","131"
"UKL1","2014","72"
"UKE2","2013","37"
"SE23","2012","12"
"FRK2","1982","16"
"UKE4","2001","28"
"CZ07","2016","55"
"PT11","1977","2"
"DE24","2013","8"
"FRC1","2020","31"
"NO0B","2021","4"
"ES41","2005","13"
"FRH0","2011","184"
"UKD4","2010","11"
"PL21","2006","17"
"NL42","2014","22"
"FRI3","2013","78"
"SI04","2016","32"
"PL21","2014","122"
"NL32","1974","12"
"PT15","2015","118"
"UKJ2","1995","12"
"DEA2","1983","2"
"NO06","1998","10"
"DE50","2012","577"
"UKI5","1965","5"
"UKD7","1990","53"
"EL63","2019","32"
"DE50","2011","21"
"ITC1","2016","3011"
"ITI4","2009","27"
"DEF0","2020","187"
"FI19","2014","18"
"UKG3","1978","3"
"DE73","2019","40"
"ES41","2006","24"
"EL53","2018","10"
"UKH1","1989","103"
"CH04","1986","28"
"ES24","2019","32"
"UKE2","2012","47"
"UKG2","2009","6"
"DK04","2010","47"
"ES61","2003","16"
"UKE2","2008","20"
"ITF3","2006","39"
"SE33","2011","196"
"DE11","2004","13"
"CZ06","2021","29"
"DE80","2018","32"
"SK03","2016","21"
"EL30","1993","11"
"DK03","2000","55"
"SK02","2020","19"
"HR05","1998","8"
"UKC2","1996","22"
"ES30","1995","70"
"DK01","1995","7"
"DE23","2019","107"
"AT13","2013","43"
"ITG1","2012","16"
"BE35","2018","101"
"CZ06","1994","4"
"RO12","1990","1"
"ITC4","1997","13"
"BE24","2007","31"
"UKJ1","1980","16"
"NL22","1997","41"
"PL21","2018","138"
"ITI1","2007","49"
"PT16","2002","31"
"FR10","1989","60"
"NL21","2018","848"
"FI1B","2011","93"
"UKH3","2019","40"
"FRH0","1983","1"
"NL11","2016","57"
"UKL2","2007","42"
"UKK1","1995","7"
"ES42","2017","211"
"PL21","1977","2"
"UKM7","1993","34"
"ITC1","1996","15"
"DK03","2013","88"
"ITG2","1979","1"
"DEA5","1992","10"
"UKJ1","1992","268"
"PL21","1966","1"
"PL91","2005","73"
"CH01","2007","20"
"SK04","1996","1"
"FRF1","2015","182"
"RO42","2012","2"
"ES43","2020","29"
"UKL1","1979","9"
"ES41","1995","32"
"NL32","1985","7"
"FRK2","2006","28"
"CZ07","2006","6"
"DE11","2016","542"
"NL41","2016","33"
"CZ02","2020","25"
"ITF2","2015","5"
"DE71","1973","1"
"CZ07","1976","2"
"CZ07","2004","3"
"UKI5","1989","34"
"AT21","2017","5"
"SE33","2013","29"
"UKE2","2004","12"
"ES22","2008","9"
"FI19","2006","44"
"DE26","2010","31"
"ES22","2016","37"
"NL42","1999","4"
"ITI3","2008","11"
"NL41","2005","172"
"FRC2","2020","12"
"FR10","1998","34"
"DE25","2018","1065"
"NL22","1985","10"
"ITH5","1994","8"
"AT21","2020","10"
"HR03","2020","86"
"ES41","2008","500"
"UKK4","2002","9"
"UKC1","1988","19"
"UKC2","2010","64"
"IE05","2011","31"
"PT18","2019","43"
"FRK1","1985","14"
"SE22","2005","44"
"FRH0","2012","73"
"DE24","2016","603"
"ITF1","2014","15"
"UKM7","2011","1351"
"IE04","2011","69"
"BE24","2010","25"
"UKE4","1999","209"
"NL11","2008","72"
"ES21","1995","54"
"PL61","2019","14"
"NL31","2000","58"
"SI04","2017","67"
"SE11","2010","156"
"AT13","1990","17"
"ITG2","2011","31"
"MT00","1992","5"
"DK02","2011","19"
"PL22","2021","51"
"SK02","2019","65"
"DE60","1996","7"
"ES52","2002","45"
"ES11","2003","61"
"EL41","2012","19"
"UKD3","1995","116"
"DE25","1999","3"
"DE12","2011","929"
"ES11","2005","38"
"PL51","2021","141"
"DEF0","2016","54"
"UKD7","2010","171"
"ES24","2010","43"
"BE21","2021","33"
"EL52","2013","62"
"UKK4","2010","16"
"DK04","1978","1"
"FI1C","2001","3"
"UKE4","1984","8"
"UKJ1","1981","8"
"DK01","2003","45"
"FRL0","1984","3"
"HU12","2019","213"
"NL31","1988","2"
"PT20","2014","66"
"EE00","2005","5"
"NL33","2010","126"
"HU21","2015","2"
"NO02","2019","11"
"ES41","1988","32"
"UKD4","2018","48"
"PT15","2014","15"
"DE60","2012","161"
"ITF5","2001","9"
"UKI5","2000","474"
"ITH4","2013","21"
"UKF3","2011","1"
"DE12","1997","161"
"UKF1","1995","255"
"AT33","2012","17"
"PL21","2015","33"
"DE27","2018","103"
"FI1C","1999","3"
"UKM5","2018","47"
"AT11","2012","1"
"HU12","2008","11"
"ES42","2014","82"
"FRI3","2003","11"
"DE30","2001","86"
"FRJ2","2008","23"
"PT15","1998","3"
"NL33","2005","81"
"DEC0","2018","53"
"UKM7","1992","19"
"SE23","2016","219"
"DE11","1998","3"
"PT11","1999","22"
"DE91","2011","70"
"UKE3","2005","2431"
"ITF5","1994","1"
"ES52","2006","17"
"ES42","2012","12"
"DE73","2018","17"
"FI19","2018","2393"
"CH03","2012","42"
"NL11","2002","6"
"ITC4","1999","71"
"FRE1","2020","144"
"UKE3","2002","15"
"ITF3","2002","8"
"SK01","1986","8"
"ES70","2011","54"
"IE04","2019","469"
"UKM7","1971","1"
"PT20","2017","25"
"UKE1","2018","309"
"RO32","2019","38"
"ES52","1998","19"
"FRI1","2015","31"
"ES52","1994","5"
"HU32","2009","25"
"LT02","2021","34"
"UKI5","1984","51"
"HU33","2015","18"
"UKJ4","2015","24"
"ES12","2006","4"
"PT15","2017","33"
"RO42","2014","31"
"CZ01","2016","173"
"DE26","1998","5"
"UKD6","2005","6"
"UKM8","1992","25"
"PL42","2019","351"
"DEA2","2009","80"
"CH04","1997","15"
"ES13","2014","24"
"UKJ1","2000","53"
"UKE4","2007","82"
"FRC1","2012","89"
"DE91","2012","101"
"PL72","2016","26"
"PL52","2017","11"
"BE33","1972","1"
"PT11","1995","21"
"DE94","2018","152"
"BE33","2008","7"
"BE21","2013","20"
"DE80","2016","22"
"NO08","2008","15"
"DE71","2010","128"
"NL31","2006","86"
"PL91","2010","45"
"UKM5","1995","6"
"NL42","2017","43"
"ITG2","2009","5"
"ES43","2010","8"
"FRH0","1993","3"
"DE26","2018","32"
"FRF1","1991","13"
"SE22","1975","1"
"LV00","2020","61"
"FR10","2004","1411"
"PL81","2004","8"
"SK01","2019","93"
"UKD4","2001","37"
"EL51","2018","121"
"CH05","2008","5"
"HU32","2020","41"
"UKH3","2022","2"
"BE23","1997","25"
"AT22","2020","160"
"FRJ2","2010","51"
"SE31","2020","23"
"CH04","2012","35"
"DE40","2020","197"
"NL32","2012","36"
"ITH4","1993","17"
"DEC0","2002","9"
"EL52","2018","73"
"FRI1","2010","21"
"PT20","2016","44"
"PL91","2004","61"
"SE23","2015","14"
"DEB3","2014","29"
"DED4","2019","18"
"NL11","2003","6"
"ES62","2011","15"
"UKE2","1992","7"
"ES22","1980","17"
"DE14","2009","11"
"FRB0","2015","21"
"PL41","2020","27"
"CZ03","2013","15"
"EL52","2006","7"
"UKM8","2005","391"
"IE06","2013","742"
"ES63","2019","4"
"FRB0","2019","102"
"PT11","2007","31"
"ITC4","2006","26"
"SE11","1988","10"
"NO08","1972","1"
"UKM5","2014","322"
"SE11","2013","381"
"UKM5","2010","95"
"UKE3","1983","4"
"BE10","2008","13"
"UKG1","1993","13"
"UKJ3","2004","18"
"ES62","2000","13"
"ITH3","2015","89"
"ITF6","2015","61"
"FRJ2","2012","197"
"NL32","2008","19"
"FRF3","2021","159"
"UKE2","1995","7"
"BE35","2019","15"
"RO42","1981","1"
"UKF1","2010","543"
"NL22","2006","899"
"DE91","2007","16"
"HU11","1998","32"
"FRD2","2018","77"
"HU32","2015","13"
"AT11","2016","2"
"SE22","2021","34"
"RO11","2020","681"
"UKJ2","2000","67"
"UKK1","2012","529"
"UKG3","2007","277"
"FRI2","2011","13"
"FRG0","1990","3"
"DEE0","2021","521"
"FRJ2","2007","18"
"HU12","2020","86"
"CZ01","2011","55"
"ES61","1987","6"
"UKM9","2015","4"
"ES30","2006","102"
"PT11","1996","14"
"UKH2","2020","141"
"UKG2","2012","192"
"FRH0","2008","10"
"FRH0","2004","19"
"DEE0","2011","10"
"PL51","2013","45"
"CY00","2012","13"
"CZ06","2014","33"
"ITF4","2016","57"
"NO06","2014","13"
"NL21","2010","43"
"NL31","2021","179"
"SE12","2005","190"
"PL91","2024","1"
"SE12","1987","6"
"AT22","2017","64"
"UKK2","2004","20"
"AT13","1982","40"
"DE23","2014","33"
"BE23","2003","23"
"UKH1","1998","28"
"HR03","2006","16"
"DK04","2011","49"
"UKG3","2012","875"
"SE31","2017","12"
"DE72","2004","14"
"UKF3","2020","53"
"DE92","2008","7"
"FI1C","2000","7"
"ITF4","2015","250"
"DK01","2011","146"
"UKG1","1986","145"
"BE10","1994","15"
"NO06","2010","29"
"UKJ2","2009","41"
"EL63","1998","3"
"UKG3","1991","6"
"BE24","1997","5"
"UKK1","1989","4"
"UKD1","2015","14"
"HU33","2008","5"
"ITC1","2011","21"
"ES13","2019","81"
"BG34","2015","7"
"DE25","2010","43"
"CZ07","2021","8"
"ITG2","2017","46"
"FRF1","2004","12"
"PL63","2015","16"
"ES11","2017","140"
"NO09","2013","5"
"FRK1","2007","44"
"ES12","1993","3"
"DED2","2007","8"
"PT17","2007","39"
"DK01","2010","68"
"CH07","2017","14"
"ES70","2012","8"
"IE04","2018","31"
"RO22","2005","10"
"BG41","2009","9"
"UKN0","2002","16"
"FRD1","2019","19"
"HU11","2012","106"
"BE23","1994","19"
"PT20","2019","13"
"ES42","2016","15"
"ES70","2020","24"
"DK01","2009","29"
"CH02","1995","7"
"PL91","2009","19"
"DE11","2010","737"
"PT18","2017","9"
"DEE0","2010","16"
"SE21","2014","495"
"ITI4","2003","23"
"DK02","2020","134"
"UKE3","2006","114"
"UKK1","2013","126"
"ES70","2005","6"
"UKM7","1996","100"
"PL61","2013","349"
"ITH5","1995","6"
"ITH1","2012","8"
"SE12","1969","1"
"ES70","2008","36"
"CH01","2008","57"
"PL81","1999","12"
"BG41","2016","14"
"AT32","2012","78"
"BG33","1999","11"
"DEE0","2012","19"
"DE21","2009","31"
"UKG1","2012","136"
"ES24","1997","19"
"UKD3","2002","141"
"IE05","2021","56"
"ITH5","1993","6"
"UKN0","1979","54"
"IE05","2012","16"
"IE04","2014","15"
"CZ06","2015","386"
"ES61","2008","27"
"UKK2","1984","6"
"NL34","2016","3"
"DEF0","1996","57"
"UKM8","2010","556"
"BE22","2019","184"
"DE30","1999","51"
"AT22","2011","51"
"AT33","2004","5"
"CH01","2000","31"
"CH03","1995","62"
"UKD6","2019","610"
"BG41","1990","4"
"DED5","1986","1"
"HR05","2009","30"
"CH03","2006","19"
"ITF2","2001","3"
"HU12","2010","19"
"DE92","2009","16"
"UKM7","1989","30"
"FI1D","2021","18"
"NO09","2007","3"
"UKD3","1999","27"
"CH02","2003","22"
"ES52","2010","17"
"ITH5","2002","10"
"AT12","2006","6"
"ITC3","2019","136"
"SE21","2007","10"
"EL63","2011","28"
"NL41","1990","1"
"FRK2","2003","31"
"DE25","2003","49"
"FRJ1","2009","25"
"ES12","2019","323"
"CZ05","2002","1"
"SK04","2015","8"
"DE40","2010","7"
"DE12","2002","28"
"UKL1","1989","11"
"FI1B","1999","9"
"DE12","1996","29"
"FRH0","1990","82"
"FRM0","2015","1"
"UKC2","2004","39"
"ITF4","2010","7"
"PL81","2011","53"
"ITI4","1995","62"
"AT13","1995","4"
"AT12","2017","25"
"SE22","1998","6"
"ITC4","1986","8"
"RO11","2016","113"
"PL41","2012","68"
"FRF2","2018","42"
"RO21","2018","14"
"PL84","2016","8"
"FRG0","2015","38"
"BG41","1987","2"
"FRI3","2021","121"
"NL22","2024","1"
"PL72","2007","47"
"SI04","2003","7"
"UKG3","1979","6"
"DEB1","2020","6"
"HU11","2003","106"
"UKJ3","2011","33"
"PL91","1996","41"
"ITC1","1981","3"
"ITF1","1996","2"
"UKE2","1997","177"
"SE12","2003","12"
"ES62","2009","8"
"EL52","2020","111"
"HU12","1988","1"
"FRJ2","1971","1"
"UKN0","2012","23"
"UKJ1","2002","105"
"FRC1","1996","6"
"UKE3","1996","13"
"BE32","1990","3"
"SE21","2022","7"
"DK02","2016","56"
"DEF0","1990","5"
"SE22","2009","86"
"FRD1","1990","1"
"DE23","1982","2"
"DEA2","1973","3"
"FRH0","2006","13"
"FI1D","2022","2"
"ES12","2015","40"
"ITI1","1996","68"
"DEB2","2017","8"
"HU22","2016","13"
"ITC4","2001","33"
"DE50","2001","16"
"EL61","2017","10"
"PL81","2006","43"
"CZ06","2012","10"
"UKG2","2021","400"
"IE06","1989","5"
"PT18","2016","76"
"PL42","2013","9"
"UKE1","2007","29"
"DE40","1999","3"
"EL54","2020","12"
"UKE2","2001","14"
"NL41","1992","37"
"RO22","1999","1"
"DE25","2008","17"
"EL63","2018","201"
"CH07","2018","53"
"LT01","2008","4"
"ES41","2003","17"
"UKC1","2002","10"
"NO06","2019","43"
"CZ06","1991","2"
"DEE0","1998","23"
"DEB3","2011","29"
"FRD1","2018","30"
"ITF5","2014","3"
"ES61","2012","76"
"NO08","1995","8"
"DK05","1994","86"
"UKH2","2014","154"
"HU33","2001","1"
"SE11","1986","9"
"EL43","2020","25"
"FRC1","2007","31"
"UKJ1","1989","75"
"FI1B","2012","45"
"PL71","2006","9"
"UKH1","1965","3"
"RO32","1964","1"
"UKD4","2003","7"
"DEF0","2005","17"
"UKD6","2021","402"
"UKG2","2018","103"
"FRC2","1997","4"
"UKJ3","1992","136"
"ES30","1986","59"
"UKL1","2004","29"
"CZ02","2018","136"
"RO32","2017","37"
"UKC2","1998","101"
"DE13","1998","6"
"FRF1","2021","312"
"PL71","2009","34"
"EL65","2018","5"
"ITH2","2021","76"
"UKG3","1996","6"
"PT16","1983","19"
"UKH2","1997","17"
"SE23","2014","102"
"FRC1","2014","192"
"DE23","2017","821"
"ES11","2011","519"
"EL54","2016","10"
"LT01","2019","82"
"EL41","2020","16"
"FRE2","2012","12"
"PL22","2008","8"
"ES61","2002","40"
"ITG2","2021","30"
"RO12","2004","11"
"DE14","2011","18"
"UKM8","2011","206"
"FRJ2","1993","36"
"DE24","2011","19"
"DE91","1998","22"
"UKH3","1998","58"
"DK03","2014","17"
"UKL2","1989","35"
"DE25","2013","73"
"UKM7","1994","109"
"EL63","2009","29"
"LT02","2018","53"
"UKK2","2005","11"
"DEC0","2014","25"
"FRD1","2017","49"
"HU31","2013","7"
"PL84","2011","13"
"UKG1","2000","32"
"UKH3","2011","25"
"ITF4","2001","7"
"ITC1","1999","8"
"ES24","2015","148"
"BE35","2017","10"
"PL61","2000","3"
"HU12","2003","5"
"ES41","2015","119"
"NL11","2010","13"
"ITI4","2006","70"
"NL21","2005","13"
"UKC2","2008","103"
"FRF1","2012","42"
"NO0A","2007","112"
"PT17","2008","8"
"NL42","2013","1242"
"ES12","1991","2"
"SK04","2002","3"
"EE00","2011","4"
"CH02","2014","65"
"PL22","2003","128"
"RO21","1993","11"
"NO08","2002","36"
"DE14","2014","276"
"NL42","2021","43"
"ES62","1993","1"
"DEB2","2019","151"
"DED5","2013","19"
"BE31","2008","8"
"UKJ1","1987","14"
"ITI1","2008","97"
"UKG3","1989","14"
"UKJ1","1997","261"
"UKH3","1994","4"
"PL84","2009","37"
"DEE0","2009","5"
"UKI5","1993","90"
"CZ01","1990","46"
"SE12","2000","102"
"IS00","1993","1"
"FRF1","2005","32"
"AT22","2005","4"
"EL43","2016","58"
"ITH2","2017","265"
"ES23","2013","31"
"NL42","2003","3"
"PL92","2021","5"
"NO02","2013","2"
"DEA1","2004","7"
"BE22","2000","13"
"NL22","2010","161"
"NL22","2008","34"
"DEG0","2017","198"
"IE06","2007","16"
"PL92","2019","7"
"ITC4","2004","17"
"ES30","1991","13"
"DEF0","2012","20"
"UKD3","1981","2"
"DEA4","2021","271"
"FI19","2010","239"
"UKH3","2012","95"
"ITC3","2003","5"
"PL52","2020","28"
"IE06","1984","61"
"DK03","2006","13"
"ITI3","2018","85"
"UKG1","1996","274"
"ES70","2007","10"
"ES21","1985","15"
"ES41","2009","22"
"UKJ4","2021","35"
"UKK4","1966","1"
"FRJ2","2011","33"
"DK03","1978","1"
"FRG0","2000","21"
"LU00","2016","136"
"NL31","1997","22"
"UKM8","2003","99"
"DE80","2005","103"
"IE06","2012","806"
"UKD4","2009","28"
"NL32","2002","11"
"ES12","1992","119"
"NO0A","2016","28"
"DE12","2007","73"
"ES13","2017","60"
"ITI1","1988","71"
"ES22","2002","19"
"PL42","2010","4"
"DE40","2013","164"
"DE14","2010","14"
"FRI3","2010","10"
"FRI2","2014","17"
"AT13","2010","19"
"NO0A","1992","2"
"SE23","2020","15"
"SE21","2006","31"
"DE72","2007","10"
"FRB0","2017","45"
"DK03","2017","43"
"FRF1","2009","58"
"FR10","1991","58"
"UKE4","1998","211"
"IE05","2017","65"
"PT17","2012","112"
"EL51","2012","5"
"UKD1","2020","6"
"ES11","2000","225"
"SK01","2021","9"
"PT16","2001","20"
"ITG2","2018","127"
"ES12","2000","17"
"IS00","2020","20"
"DE21","2007","20"
"BE22","2014","169"
"LT02","1976","1"
"PL61","2017","60"
"SK02","2016","16"
"DE13","2015","181"
"UKK2","1999","6"
"FRJ1","2003","29"
"DK01","1998","16"
"ES30","1974","8"
"ITF4","2006","10"
"DE72","2021","105"
"UKC1","2007","10"
"HU32","2023","1"
"ES52","1999","37"
"NL12","2019","9"
"PL62","2018","100"
"NL22","1989","8"
"LU00","2015","209"
"FRD1","2013","85"
"DEA4","2007","5"
"UKL2","2008","37"
"DE92","2016","301"
"ES70","2010","15"
"ITC4","2007","22"
"DE21","1973","1"
"FRF1","2006","17"
"FRB0","2009","19"
"ES21","2003","9"
"DEF0","1987","2"
"UKM6","2021","593"
"PT15","1997","1"
"HU22","2020","42"
"UKC2","2001","29"
"PT11","2006","98"
"UKJ3","2005","148"
"CH01","1991","13"
"DK03","2012","37"
"DE73","2017","18"
"NO09","2008","2"
"FRI2","1999","1"
"ES30","1994","18"
"ES41","1987","8"
"BE31","2013","18"
"RO22","2016","5"
"DE72","2003","151"
"PL52","1992","1"
"UKK4","2012","157"
"SE12","1994","17"
"DK05","2018","126"
"ES61","1992","15"
"CH02","2004","10"
"BE31","2016","19"
"UKH1","1992","19"
"ES51","1999","22"
"DK01","1991","4"
"AT32","2016","10"
"NO07","2018","205"
"NO06","2021","201"
"UKJ3","2000","45"
"BG42","2021","3"
"ES62","2013","14"
"DE60","2002","7"
"ES41","1994","8"
"NO0A","2015","313"
"HU11","2009","465"
"PL82","2006","8"
"DEA5","2006","24"
"UKL2","2001","185"
"FRK1","2003","5"
"ITH5","1989","5"
"EE00","2020","97"
"PL91","1983","10"
"ITF1","2015","15"
"FRC1","2019","20"
"FRI2","2021","18"
"NL34","2015","1"
"DEB2","2015","7"
"UKH2","2012","273"
"HU32","2019","57"
"FRI1","2000","6"
"SE33","2017","32"
"ITH4","1991","2"
"FRK2","2000","897"
"FI19","2005","118"
"DK04","1996","14"
"FRE1","2007","833"
"UKJ3","2003","157"
"UKH1","1988","10"
"FRF3","1994","13"
"FRI3","2015","15"
"FI19","1993","1"
"LV00","2017","61"
"UKM5","1997","96"
"FI1D","1996","5"
"PT11","1988","302"
"NL11","2000","31"
"FRK1","2011","7"
"ES43","1987","1"
"DE40","2012","57"
"SE12","2002","28"
"DE26","1955","1"
"FRF2","1988","1"
"PL81","2016","15"
"DE91","1986","13"
"UKH3","1995","127"
"UKM8","1997","17"
"UKL1","1995","22"
"PL41","2008","13"
"HU32","1999","5"
"DE50","2013","133"
"CZ07","2020","337"
"DE14","1976","1"
"PL71","2021","34"
"FRJ2","2009","113"
"RO32","1974","1"
"DE12","1987","8"
"FRH0","2010","14"
"MT00","2015","5"
"NL32","2001","56"
"PL52","2013","5"
"FRI3","2009","21"
"FI1D","2013","20"
"DE72","2006","33"
"CZ01","2012","323"
"ITF6","2013","13"
"HU21","2021","202"
"DE30","2005","37"
"UKL1","2011","17"
"ITI1","1999","30"
"UKG1","2009","40"
"DEA2","1999","15"
"NL32","1999","71"
"BE31","2006","9"
"DEB3","1989","1"
"DEA2","2002","52"
"NL22","1994","5"
"DE94","2016","127"
"FRI1","2006","9"
"SI03","2010","6"
"ITC1","1992","51"
"FRJ1","1997","19"
"NL32","2003","109"
"NL33","2006","39"
"AT31","2015","22"
"PL71","2016","16"
"SE33","2005","9"
"UKK2","2002","7"
"ITC1","1998","9"
"UKM8","1988","7"
"UKJ3","1997","41"
"DE11","1984","3"
"EL52","2010","13"
"PL61","1996","3"
"FRL0","2009","22"
"PL81","2017","18"
"UKD4","2014","577"
"ES22","2014","69"
"FI1C","2012","11"
"FRC1","2013","10"
"LU00","2010","21"
"ITH5","2009","610"
"ITH3","2001","52"
"ES24","2011","22"
"SK04","2017","25"
"LU00","2018","91"
"DE21","2000","74"
"HU33","1990","3"
"UKM7","2004","982"
"UKE3","2000","52"
"BE10","1993","5"
"FRD1","2000","97"
"FRJ2","1995","113"
"DE80","2011","26"
"ES62","2008","14"
"FRD2","1991","7"
"DE91","2005","91"
"UKC1","2000","16"
"FI19","2012","11"
"ITI3","2013","9"
"RO42","2007","4"
"ITH2","2015","55"
"NL33","1999","243"
"SI04","2014","107"
"IE05","2000","2"
"CZ07","1997","2"
"LU00","2014","8"
"HR03","2012","9"
"UKE3","2013","45"
"FRJ2","1997","30"
"NL11","1999","4"
"HU31","2019","19"
"FI1D","2012","25"
"UKE3","2003","561"
"EE00","2015","97"
"ES52","1990","7"
"ES11","1994","41"
"ES11","1997","15"
"UKD3","1987","19"
"PT16","1978","9"
"UKF1","1991","6"
"NO07","2020","547"
"FRI1","2009","92"
"ITI4","2023","3"
"NL32","1984","6"
"DE13","2010","11"
"CH07","2019","86"
"CH02","2009","53"
"ITI4","1989","26"
"UKG3","1986","6"
"ES41","2011","83"
"AT32","2020","40"
"ES11","2012","74"
"HU33","2013","13"
"UKJ2","1983","7"
"ITH5","2013","39"
"BE10","1996","127"
"UKK2","2009","25"
"UKE3","2009","41"
"DE92","1999","37"
"CY00","2018","38"
"DEA2","1988","1"
"ITF6","1992","1"
"RO21","1992","7"
"ES11","1995","4"
"BE31","1992","3"
"DEA3","2021","69"
"UKD4","2011","99"
"ITI4","1988","12"
"HR05","2005","21"
"DE26","2002","8"
"DE14","1999","11"
"HR03","2002","5"
"DE92","2002","235"
"AT31","2018","145"
"NO07","2010","70"
"CZ01","2010","250"
"ES24","2017","471"
"UKD6","2016","9"
"SE33","2014","16"
"PT15","2001","7"
"DE30","1992","12"
"BE32","2020","19"
"UKH3","2007","28"
"FRF1","2011","20"
"ES21","2021","72"
"FRJ1","1985","7"
"SE33","2021","49"
"NL31","2001","33"
"ITI1","1997","8"
"HU23","2003","2"
"LU00","2020","84"
"ES21","1996","11"
"PL81","2014","34"
"RO12","2018","21"
"DE92","2004","19"
"DE12","1995","11"
"UKG3","1982","5"
"NO07","2012","3"
"FRK1","2002","13"
"ITC1","2004","12"
"EL41","2005","4"
"HU33","2016","53"
"ITI1","1992","33"
"IS00","2015","19"
"DE72","1988","9"
"PL41","2011","21"
"DE13","2011","110"
"SE22","2004","141"
"ITI2","2015","13"
"UKM8","2009","85"
