country;year;edu_index
PT;2012;0.836
RO;2012;0.803
SK;2012;0.844
SI;2012;0.885
ES;2012;0.881
SE;2012;0.913
CH;2012;0.944
GB;2012;0.904
AT;2013;0.906
BE;2013;0.916
BG;2013;0.801
HR;2013;0.829
CY;2013;0.861
CZ;2013;0.882
DK;2013;0.934
EE;2013;0.87
FI;2013;0.929
FR;2013;0.889
DE;2013;0.934
GR;2013;0.866
HU;2013;0.839
IS;2013;0.926
IE;2013;0.916
IT;2013;0.882
LV;2013;0.839
LT;2013;0.847
LU;2013;0.9
NL;2013;0.93
NO;2013;0.945
PL;2013;0.857
PT;2013;0.84
RO;2013;0.808
SK;2013;0.844
SI;2013;0.892
ES;2013;0.882
SE;2013;0.933
CH;2013;0.946
GB;2013;0.921
AT;2014;0.912
BE;2014;0.919
BG;2014;0.806
HR;2014;0.836
CY;2014;0.862
CZ;2014;0.887
DK;2014;0.935
EE;2014;0.871
FI;2014;0.928
FR;2014;0.893
DE;2014;0.936
GR;2014;0.875
HU;2014;0.838
IS;2014;0.931
IE;2014;0.928
IT;2014;0.882
LV;2014;0.844
LT;2014;0.859
LU;2014;0.904
NL;2014;0.932
NO;2014;0.944
PL;2014;0.858
PT;2014;0.846
RO;2014;0.812
SK;2014;0.847
SI;2014;0.894
ES;2014;0.888
SE;2014;0.936
CH;2014;0.942
GB;2014;0.925
AT;2015;0.916
BE;2015;0.922
BG;2015;0.809
HR;2015;0.84
CY;2015;0.866
CZ;2015;0.892
DK;2015;0.933
EE;2015;0.877
FI;2015;0.93
FR;2015;0.894
DE;2015;0.938
GR;2015;0.877
HU;2015;0.841
IS;2015;0.934
IE;2015;0.935
IT;2015;0.882
LV;2015;0.85
LT;2015;0.863
LU;2015;0.906
NL;2015;0.935
NO;2015;0.947
PL;2015;0.863
PT;2015;0.855
RO;2015;0.814
SK;2015;0.851
SI;2015;0.894
ES;2015;0.895
SE;2015;0.939
CH;2015;0.948
GB;2015;0.923
AT;2016;0.918
BE;2016;0.924
BG;2016;0.81
HR;2016;0.841
CY;2016;0.873
CZ;2016;0.893
DK;2016;0.935
EE;2016;0.882
FI;2016;0.932
FR;2016;0.895
DE;2016;0.941
GR;2016;0.874
HU;2016;0.843
IS;2016;0.941
IE;2016;0.943
IT;2016;0.884
LV;2016;0.853
LT;2016;0.868
LU;2016;0.91
NL;2016;0.936
NO;2016;0.95
PL;2016;0.869
PT;2016;0.854
RO;2016;0.82
SK;2016;0.853
SI;2016;0.9
ES;2016;0.899
SE;2016;0.939
CH;2016;0.947
GB;2016;0.924
AT;2017;0.92
BE;2017;0.928
BG;2017;0.811
HR;2017;0.845
CY;2017;0.878
CZ;2017;0.896
DK;2017;0.937
EE;2017;0.885
FI;2017;0.935
FR;2017;0.896
DE;2017;0.943
GR;2017;0.879
HU;2017;0.846
IS;2017;0.943
IE;2017;0.947
IT;2017;0.886
LV;2017;0.859
LT;2017;0.873
LU;2017;0.913
NL;2017;0.939
NO;2017;0.954
PL;2017;0.873
PT;2017;0.858
RO;2017;0.821
SK;2017;0.855
SI;2017;0.907
ES;2017;0.903
SE;2017;0.941
CH;2017;0.948
GB;2017;0.926
