"country","year","edu_index","edu_index_im"
"BE",2016,0.924,0.924
"BG",2016,0.81,0.81
"HR",2016,0.841,0.841
"CY",2016,0.873,0.873
"CZ",2016,0.893,0.893
"DK",2016,0.935,0.935
"EE",2016,0.882,0.882
"FI",2016,0.932,0.932
"FR",2016,0.895,0.895
"DE",2016,0.941,0.941
"GR",2016,0.874,0.874
"HU",2016,0.843,0.843
"IS",2016,0.941,0.941
"IE",2016,0.943,0.943
"IT",2016,0.884,0.884
"LV",2016,0.853,0.853
"LT",2016,0.868,0.868
"LU",2016,0.91,0.91
"NL",2016,0.936,0.936
"NO",2016,0.95,0.95
"PL",2016,0.869,0.869
"PT",2016,0.854,0.854
"RO",2016,0.82,0.82
"SK",2016,0.853,0.853
"SI",2016,0.9,0.9
"ES",2016,0.899,0.899
"SE",2016,0.939,0.939
"CH",2016,0.947,0.947
"GB",2016,0.924,0.924
"AT",2017,0.92,0.92
"BE",2017,0.928,0.928
"BG",2017,0.811,0.811
"HR",2017,0.845,0.845
"CY",2017,0.878,0.878
"CZ",2017,0.896,0.896
"DK",2017,0.937,0.937
"EE",2017,0.885,0.885
"FI",2017,0.935,0.935
"FR",2017,0.896,0.896
"DE",2017,0.943,0.943
"GR",2017,0.879,0.879
"HU",2017,0.846,0.846
"IS",2017,0.943,0.943
"IE",2017,0.947,0.947
"IT",2017,0.886,0.886
"LV",2017,0.859,0.859
"LT",2017,0.873,0.873
"LU",2017,0.913,0.913
"NL",2017,0.939,0.939
"NO",2017,0.954,0.954
"PL",2017,0.873,0.873
"PT",2017,0.858,0.858
"RO",2017,0.821,0.821
"SK",2017,0.855,0.855
"SI",2017,0.907,0.907
"ES",2017,0.903,0.903
"SE",2017,0.941,0.941
"CH",2017,0.948,0.948
"GB",2017,0.926,0.926
"AT",2018,0.921,0.921
"BE",2018,0.93,0.93
"BG",2018,0.814,0.814
"HR",2018,0.848,0.848
"CY",2018,0.885,0.885
"CZ",2018,0.898,0.898
"DK",2018,0.938,0.938
"EE",2018,0.89,0.89
"FI",2018,0.936,0.936
"FR",2018,0.898,0.898
"DE",2018,0.946,0.946
"GR",2018,0.88,0.88
"HU",2018,0.85,0.85
"IS",2018,0.946,0.946
"IE",2018,0.95,0.95
"IT",2018,0.89,0.89
"LV",2018,0.864,0.864
"LT",2018,0.877,0.877
"LU",2018,0.913,0.913
"NL",2018,0.941,0.941
"NO",2018,0.955,0.955
"PL",2018,0.876,0.876
"PT",2018,0.86,0.86
"RO",2018,0.824,0.824
"SK",2018,0.858,0.858
"SI",2018,0.912,0.912
"ES",2018,0.906,0.906
"SE",2018,0.943,0.943
"CH",2018,0.954,0.954
"GB",2018,0.929,0.929
"AT",2019,0.921,0.921
"BE",2019,0.932,0.932
"BG",2019,0.816,0.816
"HR",2019,0.85,0.85
"CY",2019,0.887,0.887
"CZ",2019,0.9,0.9
"DK",2019,0.94,0.94
"EE",2019,0.892,0.892
"FI",2019,0.938,0.938
"FR",2019,0.901,0.901
"DE",2019,0.948,0.948
"GR",2019,0.889,0.889
"HU",2019,0.855,0.855
"IS",2019,0.949,0.949
"IE",2019,0.956,0.956
"IT",2019,0.892,0.892
"LV",2019,0.866,0.866
"LT",2019,0.882,0.882
"LU",2019,0.917,0.917
"NL",2019,0.944,0.944
"NO",2019,0.957,0.957
"PL",2019,0.881,0.881
"PT",2019,0.864,0.864
"RO",2019,0.828,0.828
"SK",2019,0.86,0.86
"SI",2019,0.917,0.917
"ES",2019,0.904,0.904
"SE",2019,0.945,0.945
"CH",2019,0.956,0.956
"GB",2019,0.932,0.932
"AT",2020,NA,0.925968142125103
"BE",2020,NA,0.934900362059728
"BG",2020,NA,0.823840357693823
"HR",2020,NA,0.854203568709384
"CY",2020,NA,0.887765073871851
"CZ",2020,NA,0.905277670692408
"DK",2020,NA,0.942790840340602
"EE",2020,NA,0.899717929599235
"FI",2020,NA,0.942866137870655
"FR",2020,NA,0.903674825818524
"DE",2020,NA,0.949785435993905
"GR",2020,NA,0.88856554169046
"HU",2020,NA,0.855905546711502
"IS",2020,NA,0.955603720455221
"IE",2020,NA,0.96567095012317
"IT",2020,NA,0.888954381921893
"LV",2020,NA,0.874327319739721
"LT",2020,NA,0.890103112781321
"LU",2020,NA,0.917451036111946
"NL",2020,NA,0.948729755766629
"NO",2020,NA,0.957539477693606
"PL",2020,NA,0.887161369150255
"PT",2020,NA,0.871538842473889
"RO",2020,NA,0.82824171807373
"SK",2020,NA,0.864213166051515
"SI",2020,NA,0.912841012028846
"ES",2020,NA,0.916657735425183
"SE",2020,NA,0.955438987003091
"CH",2020,NA,0.956804208477966
"GB",2020,NA,0.934576729338449
"MT",2009,0.769887017,0.769887017
"MT",2010,0.780146508,0.780146508
"MT",2011,0.779897941,0.779897941
"MT",2012,0.790826168,0.790826168
"MT",2013,0.789521874,0.789521874
"MT",2014,0.790629711,0.790629711
"MT",2015,0.791056647,0.791056647
"MT",2016,0.793273167,0.793273167
"MT",2017,0.801735896,0.801735896
"MT",2018,0.808144126,0.808144126
"MT",2019,0.827904202,0.827904202
"MT",2020,0.824691594,0.824691594
