"year","country","ted","score","flow_in","flow_out","gdp","edu_index","r3score"
"2020","CH",23.3653078401046,0.356,2513,2063,82102.38483,0.956804208477966,0.708734106150075
"2020","CY",20.4115102392455,0,360,329,39593.42578125,0.887765073871851,0
"2020","CZ",23.0757500060131,0.012,1072,901,41608.0253519702,0.905277670692408,0.228942848510666
"2020","DE",31.3210361031904,0.208,14413,14243,54844.5459733622,0.949785435993905,0.592499213681474
"2020","DK",23.6090573117275,0.044,8929,7503,60229.9147703017,0.942790840340602,0.353034833532606
"2020","EE",21.2583994431255,0.004,323,231,37645.2213607112,0.899717929599235,0.15874010519682
"2020","EL",18.9778591267229,0.004,1033,1008,27948.6497284227,0.88856554169046,0.15874010519682
"2020","ES",24.7859971965502,0.068,2130,2236,37756.3509997639,0.916657735425183,0.408165510191735
"2020","FI",21.2386132779157,0.04,2690,2050,50937.1607539726,0.942866137870655,0.341995189335339
"2020","FR",25.2476619861745,0.136,4777,5053,46991.1820282957,0.903674825818524,0.514256318131647
"2020","HR",22.1221697068308,0,437,471,28780.316739861,0.854203568709384,0
"2020","HU",23.1233022348922,0,2982,3062,33274.3476562091,0.855905546711502,0
"2020","IE",20.5266905534418,0.028,903,772,93350.0875336544,0.96567095012317,0.303658897187566
"2020","IS",19.0375649309363,0,15,20,53616.6847084842,0.955603720455221,0
"2020","IT",24.6507549292771,0.072,4235,4039,41987.8159630472,0.888954381921893,0.416016764610381
"2020","LT",14.7859353335112,0.004,175,165,38880.5452693822,0.890103112781321,0.15874010519682
"2020","LU",15.5813011529883,0,819,504,117846.13649183,0.917451036111946,0
"2020","LV",14.843406259376,0,11,13,31424.9022103534,0.874327319739721,0
"2020","MT",22.5116137309123,0,20,14,43243.1726484364,0.824691594,0
"2020","NL",23.4997897211768,0.144,2417,2118,59266.9085805339,0.948729755766629,0.524148278841779
"2020","NO",23.3730670105767,0.024,782,584,70776.85647,0.957539477693606,0.288449914061482
"2020","PL",24.2393214164341,0.008,5229,3604,34286.9850845384,0.887161369150255,0.2
"2020","PT",22.2638453725723,0.016,2138,2507,34177.085710564,0.871538842473889,0.251984209978975
"2020","RO",24.4449682859115,0,2683,3746,32202.2086556273,0.82824171807373,0
"2020","SE",23.8342977836671,0.076,2001,1655,55064.8850101551,0.955438987003091,0.423582358425489
"2020","SI",21.8612210135606,0,582,473,39725.259194249,0.912841012028846,0
"2020","SK",22.0757016540977,0,1094,871,31356.458282425,0.864213166051515,0
"2020","UK",28.4199537799673,1.424,36948,38074,46526.9118652819,0.934576729338449,1.12504526566837
