"sender","receiver","year","count"
"UKE4","NG","2012","4"
"DEA1","IR","2019","1"
"DE91","EG","2003","3"
"TH","UKE3","2012","2"
"UKC2","UKI5","2021","3"
"UKG1","ES21","2021","2"
"CH01","FR10","2015","3"
"CL","PT16","2021","1"
"PL61","PL71","2019","2"
"CA","PL71","2021","1"
"ES43","AU","2013","1"
"PT16","PT18","1997","5"
"NL32","ES51","2018","4"
"BD","UKI5","2017","2"
"BE31","DE12","2013","1"
"ZA","UKL1","2018","1"
"NO08","NO06","1987","1"
"ES11","ES12","2019","5"
"RO21","RO32","2012","3"
"UKE2","AE","2020","1"
"DK01","BE10","2020","3"
"RS","FI1B","2019","2"
"UKH1","UKH3","2020","3"
"BE23","UKE4","2013","1"
"CA","ES61","2002","1"
"UKH1","UKG1","2019","8"
"IN","DE","2013","1"
"UKD3","UKI5","2012","8"
"JP","US","2016","8"
"UKF1","DE11","2010","1"
"PL22","PL63","2014","2"
"SE33","IN","2015","1"
"DE12","US","2018","19"
"ES41","ES51","2008","3"
"DEA2","DE21","2008","2"
"EC","ES11","2021","2"
"UKI5","ES30","2018","14"
"UKH1","MX","2011","2"
"PL61","PL42","2014","1"
"DE40","DE71","2017","1"
"DEF0","DEA4","1998","1"
"DE21","UA","2020","1"
"UKD7","UKG2","2019","3"
"UKN0","IE06","2020","8"
"ES51","ITI4","2017","1"
"ES41","UY","2018","1"
"BE10","BE21","2018","7"
"UKE4","GH","2013","2"
"CN","DE14","2016","2"
"MA","FR10","2019","6"
"UKF3","UKE3","2014","1"
"DEA2","US","2001","4"
"UKI5","HU23","2021","1"
"MX","ES42","2016","3"
"DE91","DE40","2020","3"
"US","SE22","2016","6"
"DE92","ITH5","2021","1"
"UKH1","UKM8","2015","5"
"SE11","NL33","2018","2"
"CH02","AU","2021","2"
"DE60","UKJ1","2021","1"
"US","ES61","2015","8"
"FI1C","ITI4","2013","1"
"DE40","DEB3","2007","1"
"ITH5","ITI4","1995","1"
"EG","DE80","2017","1"
"PL41","UKG1","2015","1"
"EL30","EL63","2015","5"
"BE21","BE24","2016","15"
"PL91","PL63","2005","2"
"TN","FRK2","2020","2"
"UKL1","UKL2","2019","15"
"UKJ2","CH01","2015","2"
"IE04","UKM5","2006","1"
"AE","UKF1","2021","1"
"FRK2","US","2000","2"
"BR","UKM7","2020","4"
"ITI1","ITH3","2014","2"
"UKE4","UKJ1","1985","1"
"UKG1","KW","2008","2"
"ES41","ES30","2014","23"
"UKL1","UKG2","2010","1"
"CN","JP","2015","2"
"PL91","PL21","1980","1"
"GH","NO08","2015","1"
"MO","CN","2018","2"
"ITH4","BR","1995","1"
"FR10","UY","1991","1"
"UKL1","GB","2012","1"
"UKM7","DK01","2021","5"
"ES52","PT11","2021","2"
"DZ","PT11","2019","1"
"DE","CN","2016","1"
"DE40","CN","2018","4"
"IT","ITC4","2020","8"
"CH01","FRK2","1994","2"
"FRF1","AU","2020","1"
"MX","ES21","2007","2"
"DE60","AT12","2007","1"
"ES30","ES70","2016","9"
"UKI5","GB","2008","8"
"DEF0","IN","2009","1"
"DED5","DE13","2020","2"
"ITF3","ITI1","2005","1"
"DE12","CH03","2019","7"
"CL","UKI5","2005","1"
"ES51","ID","2020","1"
"KR","FRD1","2016","1"
"ITH4","IE06","2019","1"
"CA","PL84","2009","1"
"GB","HK","1990","1"
"UKJ1","NG","2019","5"
"UKJ1","SE11","2000","1"
"ITC4","ITI4","1997","2"
"NL32","NL31","1999","2"
"UKI5","ZA","2017","9"
"FR10","FRE1","2020","10"
"DK04","DE12","2018","2"
"CH02","CH04","2010","3"
"ITC4","CL","2019","1"
"HR02","HR05","2010","3"
"CA","ITC4","2002","2"
"DK01","FRK2","2014","1"
"DEF0","DE","2019","6"
"CN","FI1D","2016","5"
"US","IT","2013","3"
"UA","FRK2","2015","2"
"ES53","ES30","2010","1"
"CN","CZ07","2014","1"
"AT13","AT22","2003","3"
"FRG0","PK","2017","1"
"ITH3","US","2016","14"
"UKM5","IE06","1994","1"
"FR10","MX","1989","4"
"FRL0","US","2009","2"
"ES11","PL63","2020","1"
"CH02","BE10","2008","1"
"CO","UKJ1","2018","3"
"PL51","PL61","2019","6"
"ES24","ES52","1995","1"
"UKD3","UKG2","2014","2"
"UKI5","UKJ4","2007","5"
"UKH1","UKM7","1992","1"
"EL63","EL30","2019","13"
"US","FRK2","2012","11"
"DE","BG33","2021","1"
"PA","ES51","2007","2"
"ES21","US","2014","3"
"US","FR10","1991","3"
"NL22","NL33","1991","1"
"UKM7","US","2007","3"
"RU","NL11","2020","2"
"DEA2","DEA5","2011","2"
"UKI5","AR","2007","2"
"UKI5","FI1B","2018","4"
"IN","IE05","2019","11"
"ITI4","SE11","2017","2"
"PL63","PL91","2006","1"
"UA","PL71","2013","1"
"UKG3","PT11","1993","2"
"US","CY00","2001","2"
"CN","UKJ1","2019","24"
"FRG0","UKJ1","2018","3"
"CN","UKH1","1999","1"
"CO","ES22","2019","1"
"SE33","UKM5","2020","1"
"DE13","DE","2019","5"
"FRF3","NL33","2017","2"
"RO32","RO12","2001","3"
"CH04","AU","2019","11"
"UKD6","UKD3","2011","4"
"UKK1","UKM5","2010","1"
"OM","UKF1","2020","1"
"SE21","SE11","2012","4"
"UKK4","GB","2019","5"
"LB","ITI4","2016","2"
"ID","UKH1","2002","1"
"UKJ1","NL11","2016","1"
"UKM8","ID","2009","1"
"ITI1","ITI4","1990","4"
"UKF1","UKJ3","2019","3"
"CA","UKD7","2020","1"
"ITI4","UKI5","2020","9"
"US","CH05","2015","2"
"DK","DK02","1998","1"
"CZ03","CZ01","2017","6"
"ITH3","UKJ1","2020","1"
"DEB3","DED5","2019","1"
"US","UKL1","2016","5"
"ZA","UKK2","2010","2"
"CO","ES52","1991","2"
"UKM8","BR","1998","3"
"NL41","US","2019","6"
"PL91","FR10","2019","3"
"FRC1","FRJ1","2011","1"
"UKE3","UKD3","2005","3"
"CN","NL32","2020","4"
"CL","FRL0","2002","1"
"CZ01","PT11","2021","2"
"UKH1","SG","2015","3"
"CH04","CH05","2020","16"
"UKM7","NZ","2009","3"
"UKM8","NZ","1998","2"
"SA","UKK4","2012","1"
"SG","CH02","2017","1"
"US","PT11","2017","7"
"MW","UKE4","2016","1"
"SE11","CN","2013","10"
"FRJ1","FRD1","2018","2"
"FRE1","IN","2020","1"
"PL63","EC","2014","1"
"PT17","BE24","2009","1"
"DED2","CH04","2015","3"
"CZ06","NO09","2020","1"
"UKK4","BE24","2020","1"
"NL41","BR","2017","3"
"IR","DE14","2017","4"
"DE92","CA","2019","4"
"DE13","CH03","2016","2"
"FRH0","DK04","2018","2"
"AU","DK01","2020","8"
"MK","UKG2","2018","1"
"RO32","UKD7","2008","1"
"CL","UY","2016","1"
"RO11","RO31","1995","1"
"DO","ES51","2014","2"
"FRK2","US","2021","6"
"BJ","BE33","2017","1"
"IN","NL11","2015","1"
"FRJ2","AT32","2017","1"
"UKE3","FRF1","2021","1"
"FI19","UKM8","2016","1"
"BE24","CZ07","2019","1"
"BR","ITC4","2015","7"
"EG","ITC4","2018","3"
"FRI1","FRI3","2019","2"
"LU00","BE10","2018","2"
"FR10","IQ","1982","1"
"UKN0","UKL1","2019","1"
"FRK2","FRJ1","2021","3"
"UKI5","IR","2004","4"
"UKJ4","GH","2014","1"
"SE11","US","2019","22"
"FRK2","VN","2012","1"
"UKD7","IR","2018","1"
"CH04","ITF3","2019","2"
"US","AU","2010","12"
"CH04","ITC4","1988","1"
"AU","CH01","2020","11"
"IN","CH01","2019","9"
"SE11","NO08","1999","1"
"NG","UKH1","2021","2"
"NL32","NL22","2012","4"
"ES24","ES21","2010","1"
"ID","UKD3","2017","1"
"ZA","NL32","2018","4"
"ITH5","ITC1","2020","4"
"PL","PL84","2012","1"
"PK","UKN0","2020","3"
"DEA4","UKE2","2019","1"
"FRF1","US","2017","7"
"DE30","DEA5","1982","1"
"UKI5","UKG3","2012","9"
"UKM7","AZ","2018","2"
"FRI1","CI","2009","1"
"ITH1","ITH3","1988","1"
"ITI3","ITI4","2019","6"
"FR10","FRD2","2018","6"
"ID","UKI5","2016","12"
"FRI1","FR10","2005","3"
"FR","FR10","2016","14"
"DEE0","FI1B","2018","1"
"NL31","UKH2","2015","1"
"RO32","NL32","2020","1"
"DE71","DE72","2012","2"
"PL71","PL41","2011","3"
"ITH1","AT31","2019","1"
"FRL0","CA","2016","9"
"JP","FI1D","2019","2"
"US","UKJ1","2005","7"
"FI1D","FI1C","2020","8"
"BE23","MY","2020","2"
"AT33","UKE4","2019","1"
"UKE3","UKF1","2018","11"
"FRG0","FRK2","2021","2"
"US","FR10","2006","7"
"EL41","NL11","2018","1"
"JP","HR05","2018","1"
"IR","OM","2013","1"
"DE","AT12","2010","1"
"UKJ1","ZA","2016","2"
"DE71","UKI5","2019","3"
"FRC1","US","2019","1"
"JP","TR","2020","1"
"ITH1","DE23","2018","1"
"ZM","CN","2017","1"
"BR","ITF2","2016","1"
"NL33","EG","2020","2"
"PE","ES70","1994","1"
"SE11","SE12","2020","37"
"UKE3","UKK4","2017","3"
"EE00","FI19","2021","1"
"UKI5","ZA","1994","1"
"BR","FRE2","1999","1"
"CH03","US","2020","18"
"NL22","NL41","2006","2"
"UKI5","UKK2","2006","1"
"UKG1","MY","1995","1"
"SE22","SE21","2005","3"
"UKK1","PY","2005","1"
"CA","DEB3","2002","1"
"TH","FRL0","2021","1"
"ES41","MX","2017","6"
"NZ","HR03","2006","1"
"ITF3","CN","2020","1"
"FRC1","FRD1","1995","1"
"EL30","UKG1","2020","1"
"DE11","ET","2014","2"
"DE40","DEA2","2016","3"
"IN","VN","2017","1"
"UKL1","UKD3","2017","7"
"CH01","UKC1","2020","2"
"DE60","NO08","2018","2"
"DE60","DED4","2019","1"
"CH01","IN","2015","2"
"UKH3","SG","2007","1"
"CN","DK03","2021","3"
"ITC1","CO","2015","2"
"SE21","SE12","2017","11"
"RU","CH04","2017","3"
"CH04","AT33","1995","1"
"EG","UKE4","1982","2"
"FRG0","AU","2011","1"
"ITH4","EE00","2020","1"
"ES22","EC","2015","4"
"FRK2","CL","2013","4"
"IQ","RO32","2016","1"
"US","HU21","1995","1"
"DE12","UKD3","2013","2"
"US","SE11","2014","16"
"NL33","UKI5","2011","1"
"SA","EG","2016","4"
"OM","UKJ1","1997","1"
"IR","PT15","2018","4"
"IN","EL43","2016","1"
"UKM7","UKE2","2020","5"
"DK04","DK05","2006","1"
"SG","UKJ1","2019","3"
"MD","RO32","2019","2"
"ITF3","ITH5","2020","2"
"HU33","DEB3","2018","1"
"ES41","ES70","2015","1"
"NL42","NL41","2014","5"
"IN","ITH4","2017","3"
"UKD3","UKE2","2018","6"
"BE22","BE21","2007","1"
"UKD7","CZ01","2018","2"
"UKJ2","IE05","2006","1"
"PT16","UKE4","2015","3"
"DK05","US","2016","4"
"UKI5","SG","2016","18"
"ES24","ES21","2018","6"
"CZ01","CZ04","2017","4"
"NG","DE50","2019","2"
"PT17","PT18","2015","2"
"DK03","UKI5","2017","2"
"ITF1","SM","2010","1"
"DE21","TR","2017","4"
"CH","EE00","2020","1"
"TR","UKH3","2021","2"
"DE71","DE91","2020","2"
"JM","GB","2017","1"
"UKJ2","TW","2008","2"
"MY","SE12","2007","1"
"ITI4","SG","2011","1"
"PY","FRJ1","2020","1"
"UKE4","JO","2007","1"
"ES64","ES30","2017","1"
"UKM8","UKL2","2016","6"
"NL33","MX","2016","4"
"UKI5","ZA","2012","2"
"CA","AT12","2020","2"
"UKC1","BR","2018","3"
"US","CZ01","1992","1"
"UKJ3","US","2017","9"
"CL","ITH5","2020","2"
"VE","UKH1","1994","1"
"US","UKH3","2013","1"
"ITI1","ITH1","2011","4"
"SE11","NO08","2006","1"
"UKJ2","JO","2002","1"
"PT11","DE26","2017","1"
"EL52","DE21","2017","1"
"US","CY00","1991","1"
"DEF0","CN","2005","2"
"NL33","ID","2009","2"
"UKI5","BW","2015","1"
"UKM8","OM","2018","2"
"UKI5","UKF1","2012","6"
"DE25","DEA2","2000","1"
"UKI5","GB","2004","5"
"BR","FRL0","1991","2"
"UKE2","UKL1","2014","2"
"BD","UKG2","2014","1"
"GH","UKG3","1997","1"
"DEB3","IN","2015","2"
"UKG2","SA","2011","1"
"SK03","IE06","2008","1"
"CZ01","CZ05","2014","2"
"ET","BE24","2011","3"
"NL22","FRK2","1998","1"
"PL91","PL72","2018","5"
"NG","GH","2010","1"
"UKC2","UKC1","2001","1"
"US","EL30","2002","6"
"IL","US","1998","1"
"KZ","ES11","2017","1"
"UKM7","UKI5","2015","13"
"ES30","ES43","1995","3"
"FRE1","BE24","2019","2"
"DE21","DE91","2016","3"
"SE11","DE91","2018","2"
"FRJ2","DZ","1992","2"
"PL21","PL22","2015","9"
"US","DK01","2018","32"
"ITF3","IN","2020","2"
"BG41","FRE1","1991","1"
"DEA2","ITH4","2019","1"
"ES51","CZ06","2020","2"
"UA","DE","2019","2"
"DE30","NL31","2020","1"
"UKD3","TR","2020","5"
"DEA5","DEB2","2020","2"
"DE30","ES52","2020","2"
"PL41","CZ07","2020","2"
"ITI1","ITC4","1976","2"
"DE","MX","1992","2"
"UY","ES30","2014","2"
"US","SE21","1996","3"
"GH","CI","2019","1"
"DE71","DE30","2018","3"
"PL21","ITH4","2007","1"
"FRI1","PE","2009","1"
"BR","FRJ2","2003","2"
"CR","ES51","2011","2"
"CN","UKK1","2020","7"
"ID","UKG3","2009","3"
"UKI5","UKD3","2009","4"
"IN","CH02","2017","3"
"DZ","FRK2","2017","1"
"UKI5","DE91","2021","1"
"UKH1","CH03","2019","1"
"ITG2","EC","2016","1"
"PT16","ES51","2018","9"
"CH05","CH01","2010","1"
"UKG3","TR","2019","1"
"UKG3","UKD7","2021","2"
"NO06","CN","2018","4"
"FRK2","PL91","2011","1"
"FRL0","FRI1","2004","3"
"CH","CH03","2010","2"
"ITH5","MT00","2020","2"
"SE21","IE06","2021","1"
"BR","BE33","2015","4"
"CL","ITC1","2020","1"
"ITC4","GB","2019","2"
"RW","NL21","2012","1"
"FRJ1","FRK2","1998","1"
"UKD7","UKL1","2012","1"
"CA","LU00","2021","1"
"MZ","PT16","2017","8"
"UKG1","UKD7","2019","6"
"CO","ES41","2003","3"
"UKG2","UKL2","2007","1"
"FI1D","CN","2014","1"
"ITH3","UKI5","1991","1"
"UKD7","UKL2","2020","1"
"DE21","DEA1","2014","1"
"FRG0","FRI1","2020","1"
"UKM7","PT17","2021","1"
"AU","GB","2012","4"
"FRF1","FRK1","2016","1"
"NL32","NL33","1997","4"
"IN","UKL1","1997","1"
"ITC4","DE","2007","1"
"MY","UKE4","2012","2"
"EL30","GR","2021","3"
"SE","NL41","2016","1"
"MX","ES51","2006","2"
"US","ITI4","2020","17"
"ID","JP","2019","2"
"DE30","KE","2018","1"
"UKI5","PK","2015","6"
"ES61","FR10","2016","3"
"UKJ1","NL31","2018","3"
"SE11","IE06","2016","1"
"FI1B","CH01","2020","3"
"IE06","IE04","2017","10"
"UKJ2","GB","2009","3"
"FR10","ITH4","2018","2"
"ID","BE23","2016","1"
"EL63","EL65","2018","2"
"CH04","DEB3","2016","3"
"DK04","DK03","2014","6"
"UKI5","UKD7","2019","16"
"NG","UKD3","2013","4"
"BE23","BE10","2021","6"
"SI04","SI","2014","2"
"US","DK03","2015","2"
"FRF1","UKI5","2020","2"
"ITC1","ES11","2019","3"
"DE25","FRF3","2013","1"
"UKE2","UKD4","2009","1"
"NO06","NO07","2006","2"
"DED4","IR","2014","2"
"NL33","UKM7","1994","1"
"AT31","CZ03","2020","1"
"LB","PT16","2016","1"
"NZ","UKJ1","2005","1"
"BR","ITC4","2013","3"
"SA","UKD3","2013","6"
"GB","UKM8","2020","8"
"ES61","ES30","2009","3"
"UKI5","NL42","2021","1"
"IQ","US","2018","1"
"ES52","ES30","2017","24"
"UKJ1","UKJ4","2021","2"
"ES12","CL","2018","1"
"HU32","HU23","2005","2"
"JP","BE23","2011","1"
"SE","SE21","2012","2"
"IN","CZ06","2019","5"
"ZA","ES51","2012","1"
"UKH1","UKK2","2013","1"
"ITC4","PT16","2016","9"
"UKH1","DEA2","2019","3"
"DEE0","DEA2","2020","3"
"PT16","ES30","2020","5"
"IE05","DK05","2016","1"
"UKI5","US","2011","27"
"HU12","HU11","2012","6"
"FRF1","DK01","2018","2"
"UKJ2","NL41","2021","1"
"IN","UKJ3","2013","2"
"BE22","BE24","2017","8"
"UKH1","CA","2001","2"
"IN","FI1D","2021","1"
"PL51","US","2020","4"
"PL41","PL43","2011","3"
"BE23","NL33","2016","2"
"GH","UKJ1","1993","1"
"DK02","DK01","2003","2"
"UKH1","UKC1","1989","2"
"UKJ4","BE23","2018","1"
"MZ","ES11","2011","1"
"UKJ1","ES51","2016","5"
"DE24","CH04","2003","1"
"NG","ES22","2019","1"
"CH03","CN","2014","4"
"UKD7","IR","2013","1"
"MX","ITI4","2017","2"
"CH02","DEA2","2020","3"
"DEF0","US","2020","5"
"DE30","DE13","1984","1"
"UKJ1","ES","2017","1"
"ES52","CR","2012","1"
"US","MX","2020","7"
"PL82","PL71","2020","1"
"DEB3","LU00","2017","1"
"PT","PT18","2015","2"
"TH","FRJ2","2003","1"
"DE12","KR","1992","1"
"NL22","NL41","2007","1"
"UKC1","ITF4","2020","1"
"UKI5","TH","2014","5"
"ES61","PY","2014","3"
"BG41","ES30","2013","1"
"ES22","ES23","2001","1"
"QA","UKI5","2010","1"
"CN","DEF0","2016","6"
"EL54","EL30","2014","1"
"DE21","AT33","2004","1"
"UKI5","AE","2016","7"
"ES51","ES61","2000","2"
"ITH5","CY00","2020","1"
"KZ","CZ05","2017","1"
"TR","NL33","2018","9"
"UKL1","UKH1","2019","2"
"CN","UKM7","2009","2"
"TW","CH04","2018","6"
"PL52","PL22","2018","4"
"UKH1","IE06","2004","2"
"AR","NL42","2016","1"
"CA","AU","2017","5"
"DEB3","UKL2","2014","1"
"FRJ1","CL","2011","1"
"ITC4","NL42","2020","2"
"DK02","UKI5","2020","1"
"NL32","MN","2017","1"
"US","UKI5","1996","6"
"DE21","AL","2013","1"
"DEA2","DE40","2017","2"
"BE25","BE10","2016","2"
"ITI1","ITH4","2020","5"
"DE21","CH02","2017","2"
"BH","IE06","2016","2"
"FR10","MX","2018","7"
"UKD7","UKH1","2020","3"
"ES30","ES24","2020","14"
"UKM7","UKK2","2018","6"
"BE23","NL33","2021","5"
"ES51","UKD7","2019","1"
"SE21","US","2021","4"
"PE","ES22","1997","1"
"BR","UKJ1","2017","7"
"AU","DE14","2000","1"
"DE30","BF","1980","1"
"VE","ES30","1996","2"
"UKH1","UKG1","2000","3"
"DE40","DEA5","2020","2"
"UKD3","US","1999","3"
"CH02","UKH1","1972","1"
"CZ01","CZ04","2000","1"
"UKI5","TR","2021","2"
"UKJ2","US","2016","8"
"FRK1","FR10","2007","1"
"CN","DE21","2011","2"
"DE80","DE30","1985","1"
"AT13","FI1B","2015","1"
"SG","UKG1","2019","2"
"UKC2","UKD6","2016","2"
"EL43","EL61","2011","1"
"DEA4","DEA2","2021","1"
"FI1B","DEA2","2021","2"
"CN","CH01","2020","11"
"ES61","ES23","2021","7"
"NL31","CN","2016","2"
"UKM7","ITG2","2002","1"
"ES52","DE11","2020","1"
"CA","UKJ1","2018","13"
"PT30","BE10","2006","1"
"TW","UKK1","1999","1"
"DE50","DE91","2018","3"
"UKK1","PT16","1997","1"
"UKI5","TW","2012","2"
"UKH1","UKJ2","2016","4"
"DK03","US","2011","1"
"FRD1","US","2018","2"
"EC","NL22","2020","1"
"ES61","CH03","2018","3"
"DK04","ID","2004","1"
"UKE2","NZ","2014","1"
"DE","DEE0","2012","4"
"NL31","BE23","2006","1"
"UKI5","UKM7","2010","6"
"CH04","UKJ2","2017","3"
"QA","UKD3","2012","1"
"BE23","UKH1","2016","1"
"ITI1","ITF1","2020","3"
"PL91","BE24","2015","1"
"ES51","BE24","2017","4"
"DE30","BE10","2019","2"
"FRH0","FRI3","2016","1"
"EL30","UKD3","2016","2"
"FI","SE11","2006","1"
"DE14","DE21","2015","2"
"IE06","UKI5","2015","8"
"PL42","US","2017","1"
"BR","ES51","2010","5"
"IN","UKJ2","2018","6"
"JP","UKH1","2010","1"
"UKI5","UKE3","1987","2"
"MN","FRG0","2014","1"
"UKL2","UKM7","1995","1"
"DEA3","DEA5","2021","1"
"ITH3","EL30","2018","1"
"DK01","FI19","2021","1"
"DE30","DE21","2012","6"
"UKJ1","GB","2014","7"
"EL30","FRK2","2017","2"
"DE71","NL33","2004","1"
"ITI4","BE24","1996","1"
"ES61","AR","2006","1"
"ITF3","EL30","2018","1"
"ES52","ES30","2008","10"
"IS00","NO08","2019","3"
"US","ES61","1998","2"
"UKJ1","MY","2016","4"
"CH","UKI5","2019","2"
"CH01","UKH1","2019","7"
"US","UKE3","2019","5"
"UKE4","NG","2018","5"
"LT01","LT02","1995","1"
"BE21","ET","2020","1"
"US","ES70","2014","1"
"CH03","DE14","2000","1"
"US","ITC1","2015","2"
"UKM7","JP","1989","1"
"NL11","TH","2021","1"
"UKF1","FRG0","2012","1"
"FR10","DE30","2020","8"
"UKK1","CA","1983","1"
"DZ","CA","2017","2"
"RU","PL22","2000","2"
"KR","DED2","2016","1"
"DEA4","NL11","2020","1"
"FRK2","ITC4","2018","3"
"UKJ1","UKG1","2009","3"
"ITH3","ITC3","2001","1"
"BR","UKE2","1995","1"
"UKK2","CN","2018","3"
"ES30","ES52","2007","4"
"UKJ2","DE71","2018","1"
"UKE3","UKJ1","2000","1"
"ES61","FRL0","2014","1"
"CN","DK01","2018","17"
"MX","ES22","2016","2"
"SE22","AU","2010","1"
"UKH1","AU","1983","1"
"UKM7","UKI5","2012","9"
"FR10","UKE3","2008","2"
"CH03","BE24","2020","2"
"SE11","ES30","2002","1"
"DE13","MO","2019","1"
"CH01","CA","1997","1"
"NL31","DK","2011","1"
"FI19","JP","2018","1"
"CH02","CH01","2017","12"
"IQ","UKC2","2013","5"
"RU","AT12","2008","1"
"FI1B","CZ01","2008","1"
"ES51","ES12","2021","3"
"FI1B","FI","2017","4"
"ES12","ES61","2018","5"
"AR","ES21","2018","3"
"NO08","ITF3","2019","1"
"MW","UKM7","2015","1"
"UKJ2","UKI5","2007","9"
"FRJ2","VN","2019","2"
"BE24","CD","2015","1"
"DE12","DE40","2015","1"
"PL61","PL63","2018","6"
"US","ES22","2009","2"
"UKE3","FR10","2018","4"
"US","MX","2016","7"
"MX","UKH1","2018","4"
"RU","CZ01","2017","6"
"JP","IT","2019","1"
"DEA2","FR10","2019","7"
"UKG1","UKF1","2006","2"
"JP","VN","2019","2"
"HR05","PL91","2014","1"
"US","HK","2017","4"
"UA","FRI1","1993","1"
"DE60","CN","2021","5"
"DE30","IN","2015","6"
"UKG1","UKK1","2017","3"
"FRC1","CA","1999","1"
"SE11","US","2001","5"
"UKE3","UKH1","2013","2"
"DE60","JO","2014","1"
"IR","UKE3","1997","1"
"UKG1","SE33","2009","1"
"UKL2","NZ","2002","1"
"CH04","CH06","2008","2"
"TR","DEB3","2004","1"
"UKH1","CH04","2007","1"
"US","DE30","2003","2"
"BE24","EC","2014","1"
"RO31","RO12","2013","1"
"TR","NL22","2013","2"
"BR","BE10","2018","7"
"UKD1","UKD3","2014","1"
"PL62","PL21","2008","1"
"FR10","UZ","1996","1"
"DK01","DE40","2020","2"
"EC","AT13","2020","2"
"ITI4","IT","2015","8"
"FR10","FRK2","2003","7"
"IS00","SE21","2011","2"
"SK01","CL","2015","1"
"PT18","SE22","2013","1"
"BE31","ES11","2020","1"
"KE","TZ","2017","1"
"DEB3","DEC0","2004","1"
"SA","UKG1","2014","2"
"UKI5","PE","2018","4"
"HU11","HU31","2018","3"
"CA","FRG0","2002","1"
"FRJ2","NL41","2017","1"
"ES51","ES","2019","13"
"FRC1","FRE2","2019","1"
"ITC1","UKI5","2009","3"
"ITH3","ITH5","2004","2"
"NL32","NL33","1992","4"
"RU","UKI5","2007","2"
"HU22","HU11","2018","3"
"DE14","DE94","2016","1"
"UKK1","UKD3","2014","5"
"US","IE06","1970","2"
"EG","ITF4","2007","1"
"VN","IE05","2019","1"
"HR05","AU","2019","2"
"AU","IN","2018","2"
"CZ01","NL11","2018","1"
"DEA5","FR10","2018","2"
"GB","DE","2020","1"
"ES30","ES42","1999","2"
"ES62","TR","2021","1"
"UKD3","UKF1","2021","6"
"NL13","NL11","2016","4"
"UKM7","IE06","2018","6"
"UKI5","DE71","2017","2"
"UKC1","SE12","2019","2"
"GB","UKE4","2016","6"
"EL30","US","1970","1"
"ITI4","ITF1","2009","2"
"ET","AT13","2011","1"
"UKM8","FI","2011","1"
"DZ","ES70","2014","1"
"IN","IL","2019","1"
"FRH0","UKH1","2013","1"
"NO0A","NO07","1997","1"
"SE22","SE21","2020","9"
"BE33","BE22","2014","1"
"PL41","UKI5","2018","4"
"LK","FI1D","2006","1"
"ZA","UKK1","2017","1"
"AU","FRK2","2014","4"
"US","CA","2009","5"
"DE80","DE25","2013","3"
"DEA3","DEA2","2017","1"
"NO06","FRK2","2017","1"
"ES62","ES30","2008","2"
"UKI5","CH01","2014","6"
"FRF1","CN","2017","6"
"BE23","FRK2","2017","2"
"DK04","DE30","2014","1"
"UG","DK01","2013","1"
"NL33","ES51","2020","6"
"HU23","HU21","2013","4"
"UKK4","BS","2018","1"
"SE22","JP","2021","2"
"UKC1","LT01","2015","1"
"DE12","CN","1983","1"
"CN","UKJ4","2021","2"
"ES30","ES11","1980","2"
"ID","DED5","2018","1"
"UKH1","TW","2015","4"
"ES","US","2017","2"
"UA","DEE0","2017","1"
"DEC0","ITH4","2015","1"
"ES52","CU","2011","2"
"FRJ1","FRK1","2002","1"
"UKI5","UKH1","2002","6"
"UKE2","ES11","1989","1"
"KE","ITI4","2021","1"
"ES61","ES62","2007","1"
"FRJ2","BR","2015","2"
"ES30","ZA","2011","1"
"ES11","ES52","2019","3"
"DED2","UKE4","2014","1"
"SD","DEA2","2014","1"
"TR","DED2","2020","2"
"ITF3","ITI1","2001","1"
"DK01","CN","2004","3"
"MX","ES30","2008","10"
"EE00","CZ01","2018","1"
"ITC1","ITH4","2019","2"
"ITC4","ITH3","2021","9"
"PL41","DEE0","2017","1"
"DEA4","JO","2013","1"
"UKG1","EL30","2002","2"
"DEA2","GH","2019","1"
"ES21","ES41","1996","1"
"ES12","FR10","2019","2"
"FRJ1","FR","2011","2"
"DEA4","DE80","1993","1"
"ITH4","ES30","2019","1"
"UKL2","CN","2019","4"
"DK05","PT16","2019","1"
"RO11","CH01","2001","1"
"UKI5","UKH1","2012","17"
"CO","NL22","2020","2"
"FRJ2","FRF2","2005","1"
"UKG1","DE12","2017","1"
"ITG1","BR","2009","2"
"NL22","UKJ3","2006","1"
"VE","AR","2018","2"
"UKE2","UKD1","2015","1"
"CZ01","DED2","2011","1"
"UKE4","UKC2","1976","1"
"CO","US","1988","2"
"PK","SE12","2020","1"
"KZ","UKI5","2020","1"
"SD","GB","2019","1"
"SE23","IS00","2019","1"
"DE14","AT13","2012","1"
"DEB3","FRF3","2017","1"
"CN","ES51","2017","19"
"RU","UKJ1","2010","1"
"DEA2","SA","2012","1"
"GB","UKJ2","2008","1"
"PL21","AT12","2018","1"
"EG","UKL2","2018","3"
"DE","CN","2014","3"
"FRJ2","PT11","2017","2"
"UKJ1","HK","2018","8"
"NL32","NL11","2020","5"
"DK01","ES30","2019","5"
"BR","PT16","1977","1"
"EL43","ITC3","2018","1"
"LB","FR10","2015","2"
"ITI1","UA","2018","1"
"JP","FI1C","2012","1"
"IR","NL31","2017","1"
"FRF1","AT13","2019","3"
"CL","ITC4","2019","3"
"DE24","NL33","2020","1"
"SA","UKH1","2005","1"
"CL","ES51","2005","4"
