sender;receiver;dist
NL41;BE31;106763.0386
NL42;BE31;111395.8322
IS00;BE31;2076626.134
ITC1;BE31;671045.017
ITC2;BE31;587550.2503
ITC3;BE31;774329.9276
ITC4;BE31;681967.0732
ITF1;BE31;1175496.227
ITF2;BE31;1258782.775
ITF3;BE31;1343843.248
ITF4;BE31;1419140.027
ITF5;BE31;1436227.543
ITF6;BE31;1578487.171
ITG1;BE31;1640400.783
ITG2;BE31;1229618.201
ITH1;BE31;667997.67
ITH2;BE31;698593.4376
ITH3;BE31;776755.2459
UKC1;BE31;614515.7547
UKC2;BE31;672759.1451
UKD1;BE31;664903.9145
UKD3;BE31;565749.1859
UKD4;BE31;601937.6233
RO11;BE31;1417139.471
RO12;BE31;1567284.609
RO21;BE31;1658075.516
RO22;BE31;1829417.35
RO31;BE31;1724115.876
RO32;BE31;1747201.56
RO41;BE31;1575617.764
RO42;BE31;1398215.488
SE11;BE31;1301222.558
SE12;BE31;1199272.312
SE21;BE31;996374.7769
SE22;BE31;862721.7538
SE23;BE31;983613.8247
SE31;BE31;1279032.759
SE32;BE31;1530394.639
SE33;BE31;1915678.16
SI03;BE31;933096.7922
SI04;BE31;869733.2441
SK01;BE31;945169.7409
SK02;BE31;1002626.467
SK03;BE31;1081575.144
SK04;BE31;1207063.692
DEB1;BE31;212876.0442
DEB2;BE31;168971.8611
DEB3;BE31;274608.9287
DEC0;BE31;219649.612
DED2;BE31;671062.5344
DED4;BE31;580555.561
DED5;BE31;570420.6569
DEE0;BE31;516088.3943
DEF0;BE31;524459.9838
DEG0;BE31;452511.3991
DK01;BE31;771053.1873
DK02;BE31;705404.0395
PL63;BE31;986041.5828
PL71;BE31;1037899.139
PL72;BE31;1138330.079
UKD6;BE31;562546.5765
UKD7;BE31;593607.428
UKE1;BE31;491693.9936
UKE2;BE31;563125.1303
UKE3;BE31;511883.2354
UKE4;BE31;547290.9538
UKF1;BE31;492223.4557
UKF2;BE31;433380.9116
UKF3;BE31;428836.9803
UKG1;BE31;497492.1796
UKG2;BE31;533804.4652
UKG3;BE31;493972.5555
UKH1;BE31;333274.0072
UKH2;BE31;369046.8353
UKH3;BE31;312824.8714
UKI0;BE31;345419.9352
UKJ1;BE31;412554.7128
UKJ2;BE31;339951.5396
UKJ3;BE31;415423.4952
UKJ4;BE31;281261.672
UKK1;BE31;477884.1828
UKL2;BE31;575013.2925
UKM5;BE31;868619.3665
UKM6;BE31;941727.1862
UKM7;BE31;838131.6817
UKM8;BE31;832946.6976
UKM9;BE31;760557.7083
UKN0;BE31;873134.5441
HR05;BE31;1002033.073
HR06;BE31;1007047.124
NO02;BE31;1248779.138
NO06;BE31;1507470.567
NO07;BE31;2177522.334
NO08;BE31;1098122.786
NO09;BE31;966340.0704
NO0A;BE31;1165030.432
NO0B;BE31;3131017.724
BE31;BE32;46400.73372
BE33;BE32;121645.7253
BE34;BE32;119503.1532
CH05;BE32;559964.1032
CH06;BE32;504713.0239
CH07;BE32;581886.8307
CY00;BE32;2904272.007
CZ01;BE32;742074.7696
