"nuts2","year","n_res"
"AT22",2010,982
"AT31",2010,346
"AT32",2010,278
"AT33",2010,674
"AT34",2010,24
"BE10",2010,1804
"BE21",2010,753
"BE22",2010,233
"BE23",2010,1688
"BE24",2010,2019
"BE25",2010,99
"BE31",2010,549
"BE32",2010,120
"BE33",2010,459
"BE34",2010,3
"BE35",2010,157
"BG31",2010,47
"BG32",2010,127
"BG33",2010,223
"BG34",2010,56
"BG41",2010,1320
"BG42",2010,270
"CH01",2010,3191
"CH02",2010,1257
"CH03",2010,1043
"CH04",2010,2719
"CH05",2010,187
"CH06",2010,130
"CH07",2010,164
"CY00",2010,788
"CZ01",2010,3357
"CZ02",2010,63
"CZ03",2010,399
"CZ04",2010,51
"CZ05",2010,385
"CZ06",2010,1291
"CZ07",2010,661
"CZ08",2010,280
"DE11",2010,797
"DE12",2010,2303
"DE13",2010,1019
"DE14",2010,1003
"DE21",2010,2723
"DE22",2010,58
"DE23",2010,245
"DE24",2010,346
"DE25",2010,630
"DE26",2010,438
"DE27",2010,127
"DE30",2010,3224
"DE40",2010,836
"DE50",2010,851
"DE60",2010,1173
"DE71",2010,1278
"DE72",2010,619
"DE73",2010,185
"DE80",2010,468
"DE91",2010,1313
"DE92",2010,729
"DE93",2010,0
"DE94",2010,324
"DEA1",2010,805
"DEA2",2010,2683
"DEA3",2010,363
"DEA4",2010,381
"DEA5",2010,968
"DEB1",2010,42
"DEB2",2010,127
"DEB3",2010,799
"DEC0",2010,334
"DED2",2010,991
"DED4",2010,301
"DED5",2010,694
"DEE0",2010,685
"DEF0",2010,895
"DEG0",2010,758
"DK01",2010,4563
"DK02",2010,500
"DK03",2010,949
"DK04",2010,1637
"DK05",2010,581
"EE00",2010,810
"EL30",2010,2932
"EL41",2010,154
"EL42",2010,0
"EL43",2010,633
"EL51",2010,297
"EL52",2010,1625
"EL53",2010,58
"EL54",2010,293
"EL61",2010,283
"EL62",2010,38
"EL63",2010,813
"EL64",2010,42
"EL65",2010,40
"ES11",2010,3243
"ES12",2010,1141
"ES13",2010,505
"ES21",2010,2492
"ES22",2010,950
"ES23",2010,199
"ES24",2010,1485
"ES30",2010,13828
"ES41",2010,3577
"ES42",2010,1131
"ES43",2010,804
"ES51",2010,14528
"ES52",2010,5402
"ES53",2010,460
"ES61",2010,9833
"ES62",2010,1361
"ES63",2010,15
"ES64",2010,13
"ES70",2010,1149
"FI19",2010,1605
"FI1B",2010,2801
"FI1C",2010,971
"FI1D",2010,1179
"FI20",2010,0
"FR10",2010,10632
"FRB0",2010,511
"FRC1",2010,320
"FRC2",2010,219
"FRD1",2010,283
"FRD2",2010,260
"FRE1",2010,994
"FRE2",2010,263
"FRF1",2010,1059
"FRF2",2010,181
"FRF3",2010,756
"FRG0",2010,833
"FRH0",2010,1115
"FRI1",2010,1089
"FRI2",2010,153
"FRI3",2010,351
"FRJ1",2010,1316
"FRJ2",2010,1594
"FRK1",2010,386
"FRK2",2010,3457
"FRL0",2010,1737
"FRM0",2010,32
"FRY1",2010,0
"FRY2",2010,0
"FRY3",2010,0
"FRY4",2010,0
"FRY5",2010,0
"HR02",2010,204
"HR03",2010,849
"HR05",2010,1875
"HR06",2010,59
"HU11",2010,2200
"HU12",2010,391
"HU21",2010,79
"HU22",2010,65
"HU23",2010,242
"HU31",2010,90
"HU32",2010,353
"HU33",2010,456
"IE04",2010,672
"IE05",2010,1278
"IE06",2010,3439
"IS00",2010,486
"ITC1",2010,1997
"ITC2",2010,9
"ITC3",2010,850
"ITC4",2010,6456
"ITF1",2010,510
"ITF2",2010,131
"ITF3",2010,2299
"ITF4",2010,1168
"ITF5",2010,103
"ITF6",2010,535
"ITG1",2010,1617
"ITG2",2010,538
"ITH1",2010,359
"ITH2",2010,192
"ITH3",2010,2448
"ITH4",2010,1125
"ITH5",2010,3195
"ITI1",2010,3947
"ITI2",2010,1
"ITI3",2010,704
"ITI4",2010,5702
"LT01",2010,754
"LT02",2010,683
"LU00",2010,305
"LV00",2010,897
"MT00",2010,297
"NL11",2010,1131
"NL12",2010,50
"NL13",2010,20
"NL21",2010,699
"NL22",2010,1963
"NL23",2010,18
"NL31",2010,1799
"NL32",2010,2772
"NL33",2010,3442
"NL34",2010,23
"NL41",2010,901
"NL42",2010,800
"NO02",2010,53
"NO06",2010,913
"NO07",2010,405
"NO08",2010,1822
"NO09",2010,144
"NO0A",2010,999
"NO0B",2010,13
"PL21",2010,3485
"PL22",2010,2095
"PL41",2010,2111
"PL42",2010,615
"PL43",2010,127
"PL51",2010,2108
"PL52",2010,256
"PL61",2010,800
"PL62",2010,474
"PL63",2010,1555
"PL71",2010,1620
"PL72",2010,169
"PL81",2010,1340
"PL82",2010,362
"PL84",2010,523
"PL91",2010,5415
"PL92",2010,179
"PT11",2010,10248
"PT15",2010,698
"PT16",2010,18689
"PT17",2010,1343
"PT18",2010,802
"PT20",2010,333
"PT30",2010,284
"RO11",2010,1008
"RO12",2010,275
"RO21",2010,629
"RO22",2010,199
"RO31",2010,101
"RO32",2010,2037
"RO41",2010,138
"RO42",2010,425
"SE11",2010,3448
"SE12",2010,2708
"SE21",2010,1888
"SE22",2010,1877
"SE23",2010,455
"SE31",2010,225
"SE32",2010,106
"SE33",2010,926
"SI03",2010,130
"SI04",2010,1036
"SK01",2010,738
"SK02",2010,174
"SK03",2010,198
"SK04",2010,363
"UKC1",2010,884
"UKC2",2010,1519
"UKD1",2010,49
"UKD3",2010,3479
"UKD4",2010,908
"UKD6",2010,241
"UKD7",2010,1543
"UKE1",2010,400
"UKE2",2010,1205
"UKE3",2010,1946
"UKE4",2010,2672
"UKF1",2010,2444
"UKF2",2010,29
"UKF3",2010,206
"UKG1",2010,3301
"UKG2",2010,435
"UKG3",2010,1986
"UKH1",2010,5246
"UKH2",2010,384
"UKH3",2010,582
"UKI0",2010,14485
"UKJ1",2010,5796
"UKJ2",2010,2021
"UKJ3",2010,1825
"UKJ4",2010,692
"UKK1",2010,1873
"UKK2",2010,846
"UKK3",2010,102
"UKK4",2010,1193
"UKL1",2010,1234
"UKL2",2010,1523
"UKM5",2010,920
"UKM6",2010,34
"UKM7",2010,4204
"UKM8",2010,2419
"UKM9",2010,26
"UKN0",2010,1087
"AT11",2010,10
"AT12",2011,292
"AT13",2011,3926
"AT21",2011,138
"AT22",2011,1073
"AT31",2011,366
"AT32",2011,318
"AT33",2011,741
"AT34",2011,29
"BE10",2011,1968
"BE21",2011,872
"BE22",2011,277
"BE23",2011,1908
"BE24",2011,2298
"BE25",2011,115
"BE31",2011,593
"BE32",2011,130
"BE33",2011,496
"BE34",2011,3
"BE35",2011,169
"BG31",2011,47
"BG32",2011,140
"BG33",2011,237
"BG34",2011,58
"BG41",2011,1346
"BG42",2011,297
"CH01",2011,3592
"CH02",2011,1485
"CH03",2011,1189
"CH04",2011,3119
"CH05",2011,206
"CH06",2011,157
"CH07",2011,188
"CY00",2011,938
"CZ01",2011,3656
"CZ02",2011,71
