"nuts2","year","n_res"
"FI1D",2013,1542
"FI20",2013,0
"FR10",2013,13018
"FRB0",2013,569
"FRC1",2013,366
"FRC2",2013,266
"FRD1",2013,350
"FRD2",2013,344
"FRE1",2013,1322
"FRE2",2013,309
"FRF1",2013,1280
"FRF2",2013,234
"FRF3",2013,896
"FRG0",2013,1039
"FRH0",2013,1409
"FRI1",2013,1351
"FRI2",2013,207
"FRI3",2013,435
"FRJ1",2013,1639
"FRJ2",2013,1918
"FRK1",2013,473
"FRK2",2013,4320
"FRL0",2013,2235
"FRM0",2013,34
"FRY1",2013,0
"FRY2",2013,0
"FRY3",2013,0
"FRY4",2013,0
"FRY5",2013,0
"HR02",2013,246
"HR03",2013,1049
"HR05",2013,2074
"HR06",2013,68
"HU11",2013,2517
"HU12",2013,509
"HU21",2013,101
"HU22",2013,75
"HU23",2013,283
"HU31",2013,98
"HU32",2013,400
"HU33",2013,513
"IE04",2013,867
"IE05",2013,1703
"IE06",2013,4378
"IS00",2013,593
"ITC1",2013,2498
"ITC2",2013,7
"ITC3",2013,1109
"ITC4",2013,7957
"ITF1",2013,616
"ITF2",2013,150
"ITF3",2013,2721
"ITF4",2013,1319
"ITF5",2013,116
"ITF6",2013,562
"ITG1",2013,1781
"ITG2",2013,706
"ITH1",2013,540
"ITH2",2013,337
"ITH3",2013,3100
"ITH4",2013,1306
"ITH5",2013,4031
"ITI1",2013,4763
"ITI2",2013,2
"ITI3",2013,830
"ITI4",2013,6699
"LT01",2013,908
"LT02",2013,761
"LU00",2013,532
"LV00",2013,1087
"MT00",2013,327
"NL11",2013,1623
"NL12",2013,67
"NL13",2013,33
"NL21",2013,946
"NL22",2013,2593
"NL23",2013,22
"NL31",2013,2261
"NL32",2013,3568
"NL33",2013,4449
"NL34",2013,28
"NL41",2013,1195
"NL42",2013,1100
"NO02",2013,89
"NO06",2013,1160
"NO07",2013,521
"NO08",2013,2369
"NO09",2013,200
"NO0A",2013,1259
"NO0B",2013,21
"PL21",2013,4166
"PL22",2013,2506
"PL41",2013,2556
"PL42",2013,737
"PL43",2013,141
"PL51",2013,2555
"PL52",2013,324
"PL61",2013,940
"PL62",2013,565
"PL63",2013,1822
"PL71",2013,1776
"PL72",2013,199
"PL81",2013,1609
"PL82",2013,430
"PL84",2013,601
"PL91",2013,6772
"PL92",2013,211
"PT11",2013,12324
"PT15",2013,795
"PT16",2013,21840
"PT17",2013,1608
"PT18",2013,894
"PT20",2013,353
"PT30",2013,337
"RO11",2013,1157
"RO12",2013,316
"RO21",2013,642
"RO22",2013,233
"RO31",2013,85
"RO32",2013,2216
"RO41",2013,132
"RO42",2013,458
"SE11",2013,4273
"SE12",2013,3321
"SE21",2013,2341
"SE22",2013,2375
"SE23",2013,502
"SE31",2013,246
"SE32",2013,133
"SE33",2013,1138
"SI03",2013,185
"SI04",2013,1227
"SK01",2013,889
"SK02",2013,206
"SK03",2013,261
"SK04",2013,429
"UKC1",2013,1192
"UKC2",2013,2084
"UKD1",2013,55
"UKD3",2013,4816
"UKD4",2013,1295
"UKD6",2013,308
"UKD7",2013,2082
"UKE1",2013,511
"UKE2",2013,1717
"UKE3",2013,2622
"UKE4",2013,3420
"UKF1",2013,3250
"UKF2",2013,33
"UKF3",2013,354
"UKG1",2013,4413
"UKG2",2013,526
"UKG3",2013,2570
"UKH1",2013,6781
"UKH2",2013,519
"UKH3",2013,659
"UKI0",2013,19274
"UKJ1",2013,7560
"UKJ2",2013,2522
"UKJ3",2013,2492
"UKJ4",2013,925
"UKK1",2013,2406
"UKK2",2013,1124
"UKK3",2013,163
"UKK4",2013,1744
"UKL1",2013,1672
"UKL2",2013,2040
"UKM5",2013,1137
"UKM6",2013,48
"UKM7",2013,5705
"UKM8",2013,3277
"UKM9",2013,35
"UKN0",2013,1279
"AT11",2013,13
"AT12",2014,381
"AT13",2014,4761
"AT21",2014,185
"AT22",2014,1353
"AT31",2014,472
"AT32",2014,383
"AT33",2014,922
"AT34",2014,38
"BE10",2014,2609
"BE21",2014,1249
"BE22",2014,376
"BE23",2014,2606
"BE24",2014,3247
"BE25",2014,112
"BE31",2014,701
"BE32",2014,170
"BE33",2014,632
"BE34",2014,9
"BE35",2014,218
"BG31",2014,54
"BG32",2014,153
"BG33",2014,262
"BG34",2014,72
"BG41",2014,1412
"BG42",2014,295
"CH01",2014,4823
"CH02",2014,1975
"CH03",2014,1605
"CH04",2014,4279
"CH05",2014,257
"CH06",2014,192
"CH07",2014,263
"CY00",2014,1224
"CZ01",2014,4533
"CZ02",2014,88
"CZ03",2014,529
"CZ04",2014,61
"CZ05",2014,505
"CZ06",2014,1769
"CZ07",2014,924
"CZ08",2014,343
"DE11",2014,1226
"DE12",2014,3345
"DE13",2014,1433
"DE14",2014,1498
"DE21",2014,4119
"DE22",2014,78
"DE23",2014,324
"DE24",2014,484
"DE25",2014,1054
"DE26",2014,579
"DE27",2014,198
"DE30",2014,4497
"DE40",2014,1163
"DE50",2014,1186
"DE60",2014,1725
"DE71",2014,1856
"DE72",2014,851
"DE73",2014,264
"DE80",2014,596
"DE91",2014,1945
"DE92",2014,1018
"DE93",2014,0
"DE94",2014,481
"DEA1",2014,1301
"DEA2",2014,3987
"DEA3",2014,493
"DEA4",2014,552
"DEA5",2014,1440
"DEB1",2014,49
"DEB2",2014,141
"DEB3",2014,1167
"DEC0",2014,459
"DED2",2014,1438
"DED4",2014,359
"DED5",2014,937
"DEE0",2014,821
"DEF0",2014,1314
"DEG0",2014,1041
"DK01",2014,6802
"DK02",2014,720
"DK03",2014,1487
"DK04",2014,2283
"DK05",2014,877
"EE00",2014,1090
"EL30",2014,3164
"EL41",2014,142
"EL42",2014,0
"EL43",2014,701
"EL51",2014,302
"EL52",2014,1786
"EL53",2014,68
"EL54",2014,367
"EL61",2014,303
"EL62",2014,48
"EL63",2014,857
"EL64",2014,41
"EL65",2014,42
"ES11",2014,3890
"ES12",2014,1357
"ES13",2014,624
"ES21",2014,3228
"ES22",2014,1144
"ES23",2014,380
"ES24",2014,1797
"ES30",2014,17068
"ES41",2014,4282
"ES42",2014,1292
"ES43",2014,905
"ES51",2014,18080
"ES52",2014,6853
"ES53",2014,574
"ES61",2014,12374
"ES62",2014,1672
"ES63",2014,20
"ES64",2014,18
"ES70",2014,1380
"FI19",2014,2154
"FI1B",2014,3813
"FI1C",2014,1363
"FI1D",2014,1669
"FI20",2014,0
"FR10",2014,13524
"FRB0",2014,608
"FRC1",2014,348
"FRC2",2014,288
"FRD1",2014,365
"FRD2",2014,359
"FRE1",2014,1406
"FRE2",2014,308
"FRF1",2014,1337
"FRF2",2014,240
"FRF3",2014,936
"FRG0",2014,1122
"FRH0",2014,1522
"FRI1",2014,1441
"FRI2",2014,218
"FRI3",2014,455
"FRJ1",2014,1713
"FRJ2",2014,2003
"FRK1",2014,490
"FRK2",2014,4551
"FRL0",2014,2316
"FRM0",2014,35
"FRY1",2014,0
"FRY2",2014,0
"FRY3",2014,0
"FRY4",2014,0
"FRY5",2014,0
"HR02",2014,262
"HR03",2014,1074
"HR05",2014,2074
"HR06",2014,68
"HU11",2014,2541
"HU12",2014,557
"HU21",2014,103
"HU22",2014,89
"HU23",2014,274
"HU31",2014,93
"HU32",2014,397
"HU33",2014,545
"IE04",2014,921
"IE05",2014,1824
"IE06",2014,4605
"IS00",2014,616
"ITC1",2014,2771
"ITC2",2014,8
"ITC3",2014,1206
"ITC4",2014,8396
"ITF1",2014,664
"ITF2",2014,151
"ITF3",2014,2844
"ITF4",2014,1378
"ITF5",2014,129
"ITF6",2014,596
"ITG1",2014,1833
"ITG2",2014,764
"ITH1",2014,592
"ITH2",2014,402
"ITH3",2014,3429
"ITH4",2014,1423
"ITH5",2014,4252
"ITI1",2014,4943
"ITI2",2014,2
"ITI3",2014,864
"ITI4",2014,6923
"LT01",2014,942
"LT02",2014,790
"LU00",2014,579
"LV00",2014,1096
"MT00",2014,336
"NL11",2014,1705
"NL12",2014,65
"NL13",2014,43
"NL21",2014,996
"NL22",2014,2744
"NL23",2014,25
"NL31",2014,2399
"NL32",2014,3774
"NL33",2014,4715
"NL34",2014,38
"NL41",2014,1296
"NL42",2014,1126
"NO02",2014,91
"NO06",2014,1270
"NO07",2014,563
"NO08",2014,2496
"NO09",2014,206
"NO0A",2014,1360
"NO0B",2014,29
"PL21",2014,4363
"PL22",2014,2571
"PL41",2014,2721
"PL42",2014,777
"PL43",2014,162
"PL51",2014,2733
"PL52",2014,342
"PL61",2014,1007
"PL62",2014,582
"PL63",2014,1936
"PL71",2014,1839
"PL72",2014,207
"PL81",2014,1647
"PL82",2014,471
"PL84",2014,618
"PL91",2014,7052
"PL92",2014,227
"PT11",2014,12451
"PT15",2014,802
"PT16",2014,21869
"PT17",2014,1605
"PT18",2014,882
"PT20",2014,328
"PT30",2014,344
"RO11",2014,1187
"RO12",2014,309
"RO21",2014,625
"RO22",2014,229
"RO31",2014,80
"RO32",2014,2245
"RO41",2014,130
"RO42",2014,468
"SE11",2014,4445
"SE12",2014,3499
"SE21",2014,2479
"SE22",2014,2474
"SE23",2014,517
"SE31",2014,266
"SE32",2014,123
"SE33",2014,1152
"SI03",2014,200
"SI04",2014,1263
"SK01",2014,910
"SK02",2014,217
"SK03",2014,258
"SK04",2014,440
"UKC1",2014,1270
"UKC2",2014,2256
"UKD1",2014,71
"UKD3",2014,5224
"UKD4",2014,1392
"UKD6",2014,321
"UKD7",2014,2170
"UKE1",2014,562
"UKE2",2014,1851
"UKE3",2014,2802
"UKE4",2014,3686
"UKF1",2014,3428
"UKF2",2014,38
"UKF3",2014,404
"UKG1",2014,4704
"UKG2",2014,559
"UKG3",2014,2748
"UKH1",2014,7163
"UKH2",2014,569
"UKH3",2014,702
"UKI0",2014,20591
"UKJ1",2014,7951
"UKJ2",2014,2661
"UKJ3",2014,2630
"UKJ4",2014,1000
"UKK1",2014,2575
"UKK2",2014,1188
"UKK3",2014,173
"UKK4",2014,1836
"UKL1",2014,1743
"UKL2",2014,2132
"UKM5",2014,1187
"UKM6",2014,49
"UKM7",2014,6011
"UKM8",2014,3547
"UKM9",2014,36
"UKN0",2014,1360
"AT11",2014,15
"AT12",2015,444
"AT13",2015,4955
"AT21",2015,197
"AT22",2015,1356
"AT31",2015,478
"AT32",2015,397
"AT33",2015,979
"AT34",2015,31
"BE10",2015,2723
"BE21",2015,1310
"BE22",2015,382
"BE23",2015,2710
"BE24",2015,3364
"BE25",2015,116
"BE31",2015,713
"BE32",2015,187
"BE33",2015,654
"BE34",2015,7
"BE35",2015,221
"BG31",2015,49
"BG32",2015,155
"BG33",2015,282
"BG34",2015,73
"BG41",2015,1383
"BG42",2015,283
"CH01",2015,5218
"CH02",2015,2022
"CH03",2015,1689
"CH04",2015,4457
"CH05",2015,279
"CH06",2015,214
"CH07",2015,274
"CY00",2015,1310
"CZ01",2015,4676
"CZ02",2015,107
"CZ03",2015,542
"CZ04",2015,59
"CZ05",2015,518
"CZ06",2015,1824
"CZ07",2015,967
"CZ08",2015,356
"DE11",2015,1285
"DE12",2015,3424
"DE13",2015,1453
"DE14",2015,1530
"DE21",2015,4269
"DE22",2015,95
"DE23",2015,327
"DE24",2015,496
"DE25",2015,1080
"DE26",2015,601
"DE27",2015,202
"DE30",2015,4623
"DE40",2015,1212
"DE50",2015,1219
"DE60",2015,1857
"DE71",2015,1910
"DE72",2015,869
"DE73",2015,277
"DE80",2015,597
"DE91",2015,2056
"DE92",2015,1058
"DE93",2015,0
"DE94",2015,506
"DEA1",2015,1393
"DEA2",2015,4185
"DEA3",2015,519
"DEA4",2015,573
"DEA5",2015,1520
"DEB1",2015,52
"DEB2",2015,143
"DEB3",2015,1199
"DEC0",2015,490
"DED2",2015,1485
"DED4",2015,355
"DED5",2015,933
"DEE0",2015,838
"DEF0",2015,1384
"DEG0",2015,1097
"DK01",2015,7099
"DK02",2015,755
"DK03",2015,1522
"DK04",2015,2329
"DK05",2015,928
"EE00",2015,1114
"EL30",2015,3081
"EL41",2015,145
"EL42",2015,0
"EL43",2015,680
"EL51",2015,276
"EL52",2015,1719
"EL53",2015,72
"EL54",2015,344
"EL61",2015,312
"EL62",2015,50
"EL63",2015,817
"EL64",2015,47
"EL65",2015,42
"ES11",2015,3888
"ES12",2015,1372
"ES13",2015,641
"ES21",2015,3287
"ES22",2015,1120
"ES23",2015,437
"ES24",2015,1750
"ES30",2015,17323
"ES41",2015,4297
"ES42",2015,1380
"ES43",2015,906
"ES51",2015,18136
"ES52",2015,6995
"ES53",2015,588
"ES61",2015,12538
"ES62",2015,1729
"ES63",2015,24
"ES64",2015,14
"ES70",2015,1386
"FI19",2015,2203
"FI1B",2015,3959
"FI1C",2015,1401
"FI1D",2015,1683
"FI20",2015,0
"FR10",2015,13847
"FRB0",2015,634
"FRC1",2015,355
"FRC2",2015,293
"FRD1",2015,356
"FRD2",2015,361
"FRE1",2015,1434
"FRE2",2015,307
"FRF1",2015,1356
"FRF2",2015,256
"FRF3",2015,951
"FRG0",2015,1138
"FRH0",2015,1584
"FRI1",2015,1466
"FRI2",2015,218
"FRI3",2015,458
"FRJ1",2015,1801
"FRJ2",2015,2056
"FRK1",2015,502
"FRK2",2015,4678
"FRL0",2015,2370
"FRM0",2015,36
"FRY1",2015,0
"FRY2",2015,0
"FRY3",2015,0
"FRY4",2015,0
"FRY5",2015,0
"HR02",2015,259
"HR03",2015,1098
"HR05",2015,2072
"HR06",2015,68
"HU11",2015,2565
"HU12",2015,590
"HU21",2015,98
"HU22",2015,90
"HU23",2015,278
"HU31",2015,101
"HU32",2015,393
"HU33",2015,541
"IE04",2015,979
"IE05",2015,1835
"IE06",2015,4793
"IS00",2015,607
"ITC1",2015,2794
"ITC2",2015,11
"ITC3",2015,1221
"ITC4",2015,8549
"ITF1",2015,696
"ITF2",2015,144
"ITF3",2015,2890
"ITF4",2015,1386
"ITF5",2015,127
"ITF6",2015,601
"ITG1",2015,1804
"ITG2",2015,763
"ITH1",2015,605
"ITH2",2015,444
"ITH3",2015,3534
"ITH4",2015,1418
"ITH5",2015,4204
"ITI1",2015,4924
"ITI2",2015,2
"ITI3",2015,829
"ITI4",2015,6815
"LT01",2015,948
"LT02",2015,819
"LU00",2015,642
"LV00",2015,1083
"MT00",2015,332
"NL11",2015,1750
"NL12",2015,68
"NL13",2015,45
"NL21",2015,1002
"NL22",2015,2854
"NL23",2015,23
"NL31",2015,2467
"NL32",2015,3869
"NL33",2015,4904
"NL34",2015,38
"NL41",2015,1345
"NL42",2015,1202
"NO02",2015,100
"NO06",2015,1309
"NO07",2015,608
"NO08",2015,2556
"NO09",2015,203
"NO0A",2015,1413
"NO0B",2015,24
"PL21",2015,4523
"PL22",2015,2630
"PL41",2015,2783
"PL42",2015,785
"PL43",2015,162
"PL51",2015,2812
"PL52",2015,347
"PL61",2015,1025
"PL62",2015,564
"PL63",2015,1990
"PL71",2015,1887
"PL72",2015,217
"PL81",2015,1692
"PL82",2015,488
"PL84",2015,626
"PL91",2015,7247
"PL92",2015,236
"PT11",2015,12361
"PT15",2015,774
"PT16",2015,21604
"PT17",2015,1591
"PT18",2015,848
"PT20",2015,319
"PT30",2015,333
"RO11",2015,1165
"RO12",2015,311
"RO21",2015,610
"RO22",2015,222
"RO31",2015,84
"RO32",2015,2215
"RO41",2015,125
"RO42",2015,458
"SE11",2015,4491
"SE12",2015,3599
"SE21",2015,2526
"SE22",2015,2486
"SE23",2015,537
"SE31",2015,280
"SE32",2015,117
"SE33",2015,1196
"SI03",2015,206
"SI04",2015,1218
"SK01",2015,919
"SK02",2015,221
"SK03",2015,271
"SK04",2015,448
"UKC1",2015,1293
"UKC2",2015,2345
"UKD1",2015,72
"UKD3",2015,5506
"UKD4",2015,1430
"UKD6",2015,328
"UKD7",2015,2322
"UKE1",2015,574
"UKE2",2015,1946
"UKE3",2015,2871
"UKE4",2015,3835
"UKF1",2015,3635
"UKF2",2015,41
"UKF3",2015,448
"UKG1",2015,4919
"UKG2",2015,581
"UKG3",2015,2874
"UKH1",2015,7549
"UKH2",2015,586
"UKH3",2015,696
"UKI0",2015,21557
"UKJ1",2015,8125
"UKJ2",2015,2747
"UKJ3",2015,2769
"UKJ4",2015,1015
"UKK1",2015,2659
"UKK2",2015,1259
"UKK3",2015,188
"UKK4",2015,1870
"UKL1",2015,1781
"UKL2",2015,2189
"UKM5",2015,1213
"UKM6",2015,51
"UKM7",2015,6188
"UKM8",2015,3699
"UKM9",2015,38
"UKN0",2015,1369
"AT11",2015,18
"AT12",2016,485
"AT13",2016,4891
"AT21",2016,195
"AT22",2016,1365
"AT31",2016,472
"AT32",2016,360
"AT33",2016,997
"AT34",2016,32
"BE10",2016,2709
"BE21",2016,1315
"BE22",2016,384
"BE23",2016,2642
"BE24",2016,3353
"BE25",2016,127
"BE31",2016,695
"BE32",2016,193
"BE33",2016,635
"BE34",2016,6
"BE35",2016,202
"BG31",2016,49
"BG32",2016,153
"BG33",2016,282
"BG34",2016,74
"BG41",2016,1357
"BG42",2016,309
"CH01",2016,5306
"CH02",2016,2107
"CH03",2016,1733
"CH04",2016,4582
"CH05",2016,280
"CH06",2016,214
"CH07",2016,280
"CY00",2016,1304
"CZ01",2016,4619
"CZ02",2016,114
"CZ03",2016,538
"CZ04",2016,58
"CZ05",2016,516
"CZ06",2016,1799
"CZ07",2016,979
"CZ08",2016,356
"DE11",2016,1276
"DE12",2016,3464
"DE13",2016,1457
"DE14",2016,1509
"DE21",2016,4328
"DE22",2016,103
"DE23",2016,338
"DE24",2016,488
"DE25",2016,1058
"DE26",2016,587
"DE27",2016,198
"DE30",2016,4660
"DE40",2016,1229
"DE50",2016,1218
"DE60",2016,1869
"DE71",2016,1955
"DE72",2016,848
"DE73",2016,273
"DE80",2016,579
"DE91",2016,2028
"DE92",2016,1074
"DE93",2016,2
"DE94",2016,532
"DEA1",2016,1419
"DEA2",2016,4245
"DEA3",2016,513
"DEA4",2016,549
"DEA5",2016,1542
"DEB1",2016,51
"DEB2",2016,150
"DEB3",2016,1210
"DEC0",2016,499
"DED2",2016,1499
"DED4",2016,333
"DED5",2016,914
"DEE0",2016,816
"DEF0",2016,1394
"DEG0",2016,1051
"DK01",2016,7073
"DK02",2016,659
"DK03",2016,1557
"DK04",2016,2338
"DK05",2016,899
"EE00",2016,1109
"EL30",2016,2927
"EL41",2016,142
"EL42",2016,0
"EL43",2016,624
"EL51",2016,254
"EL52",2016,1638
"EL53",2016,73
"EL54",2016,290
"EL61",2016,296
"EL62",2016,50
"EL63",2016,773
"EL64",2016,48
"EL65",2016,45
"ES11",2016,3757
"ES12",2016,1347
"ES13",2016,675
"ES21",2016,3265
"ES22",2016,1075
"ES23",2016,473
"ES24",2016,1697
"ES30",2016,16925
"ES41",2016,4223
"ES42",2016,1339
"ES43",2016,848
"ES51",2016,17584
"ES52",2016,6846
"ES53",2016,552
"ES61",2016,12175
"ES62",2016,1688
"ES63",2016,21
"ES64",2016,17
"ES70",2016,1367
"FI19",2016,2220
"FI1B",2016,3940
"FI1C",2016,1381
"FI1D",2016,1676
"FI20",2016,0
"FR10",2016,13701
"FRB0",2016,626
"FRC1",2016,353
"FRC2",2016,280
"FRD1",2016,347
"FRD2",2016,334
"FRE1",2016,1435
"FRE2",2016,310
"FRF1",2016,1323
"FRF2",2016,262
"FRF3",2016,912
"FRG0",2016,1148
"FRH0",2016,1532
"FRI1",2016,1482
"FRI2",2016,220
"FRI3",2016,456
"FRJ1",2016,1817
"FRJ2",2016,2074
"FRK1",2016,487
"FRK2",2016,4716
"FRL0",2016,2333
"FRM0",2016,34
"FRY1",2016,0
"FRY2",2016,0
"FRY3",2016,0
"FRY4",2016,0
"FRY5",2016,0
"HR02",2016,244
"HR03",2016,1063
"HR05",2016,1959
"HR06",2016,53
"HU11",2016,2468
"HU12",2016,599
"HU21",2016,92
"HU22",2016,88
"HU23",2016,273
"HU31",2016,108
"HU32",2016,378
"HU33",2016,529
"IE04",2016,977
"IE05",2016,1828
"IE06",2016,4733
"IS00",2016,629
"ITC1",2016,2728
"ITC2",2016,12
"ITC3",2016,1178
"ITC4",2016,8253
"ITF1",2016,684
"ITF2",2016,132
"ITF3",2016,2776
"ITF4",2016,1302
"ITF5",2016,118
"ITF6",2016,536
"ITG1",2016,1700
"ITG2",2016,713
"ITH1",2016,608
"ITH2",2016,465
"ITH3",2016,3525
"ITH4",2016,1386
"ITH5",2016,4102
"ITI1",2016,4790
"ITI2",2016,3
"ITI3",2016,805
"ITI4",2016,6608
"LT01",2016,912
"LT02",2016,783
"LU00",2016,684
"LV00",2016,1037
"MT00",2016,321
"NL11",2016,1760
"NL12",2016,73
"NL13",2016,40
"NL21",2016,1007
"NL22",2016,2814
"NL23",2016,22
"NL31",2016,2440
"NL32",2016,3814
"NL33",2016,4933
"NL34",2016,38
"NL41",2016,1431
"NL42",2016,1221
"NO02",2016,99
"NO06",2016,1328
"NO07",2016,630
"NO08",2016,2603
"NO09",2016,199
"NO0A",2016,1394
"NO0B",2016,30
"PL21",2016,4577
"PL22",2016,2630
"PL41",2016,2697
"PL42",2016,789
"PL43",2016,174
"PL51",2016,2807
"PL52",2016,351
"PL61",2016,1009
"PL62",2016,558
"PL63",2016,1991
"PL71",2016,1861
"PL72",2016,225
"PL81",2016,1680
"PL82",2016,484
"PL84",2016,613
"PL91",2016,7360
"PL92",2016,242
"PT11",2016,11849
"PT15",2016,708
"PT16",2016,20449
"PT17",2016,1476
"PT18",2016,783
"PT20",2016,313
"PT30",2016,304
"RO11",2016,1136
"RO12",2016,285
"RO21",2016,605
"RO22",2016,217
"RO31",2016,82
"RO32",2016,2095
"RO41",2016,126
"RO42",2016,448
"SE11",2016,4382
"SE12",2016,3531
"SE21",2016,2491
"SE22",2016,2411
"SE23",2016,499
"SE31",2016,273
"SE32",2016,118
"SE33",2016,1128
"SI03",2016,202
"SI04",2016,1161
"SK01",2016,872
"SK02",2016,212
"SK03",2016,273
"SK04",2016,464
"UKC1",2016,1285
"UKC2",2016,2375
"UKD1",2016,70
"UKD3",2016,5449
"UKD4",2016,1438
"UKD6",2016,323
"UKD7",2016,2335
"UKE1",2016,516
"UKE2",2016,1912
"UKE3",2016,2815
"UKE4",2016,3805
"UKF1",2016,3616
"UKF2",2016,38
"UKF3",2016,468
"UKG1",2016,4825
"UKG2",2016,569
"UKG3",2016,2857
"UKH1",2016,7639
"UKH2",2016,565
"UKH3",2016,716
"UKI0",2016,21827
"UKJ1",2016,8142
"UKJ2",2016,2748
"UKJ3",2016,2768
"UKJ4",2016,1032
"UKK1",2016,2642
"UKK2",2016,1252
"UKK3",2016,196
"UKK4",2016,1867
"UKL1",2016,1757
"UKL2",2016,2130
"UKM5",2016,1169
"UKM6",2016,49
"UKM7",2016,6141
"UKM8",2016,3653
"UKM9",2016,38
"UKN0",2016,1388
"AT11",2016,20
"AT12",2017,458
"AT13",2017,4710
"AT21",2017,185
"AT22",2017,1336
"AT31",2017,457
"AT32",2017,360
"AT33",2017,953
"AT34",2017,30
"BE10",2017,2681
"BE21",2017,1269
"BE22",2017,342
"BE23",2017,2495
"BE24",2017,3245
"BE25",2017,134
"BE31",2017,669
"BE32",2017,181
"BE33",2017,613
"BE34",2017,7
"BE35",2017,199
"BG31",2017,50
"BG32",2017,149
"BG33",2017,271
"BG34",2017,69
"BG41",2017,1292
"BG42",2017,288
"CH01",2017,5279
"CH02",2017,2033
"CH03",2017,1692
"CH04",2017,4480
"CH05",2017,280
"CH06",2017,203
"CH07",2017,278
"CY00",2017,1261
"CZ01",2017,4609
"CZ02",2017,119
"CZ03",2017,533
"CZ04",2017,60
"CZ05",2017,510
"CZ06",2017,1727
"CZ07",2017,1000
"CZ08",2017,344
"DE11",2017,1217
"DE12",2017,3328
"DE13",2017,1402
"DE14",2017,1416
"DE21",2017,4233
"DE22",2017,93
"DE23",2017,326
"DE24",2017,467
"DE25",2017,1013
"DE26",2017,564
"DE27",2017,195
"DE30",2017,4527
"DE40",2017,1218
"DE50",2017,1198
"DE60",2017,1847
"DE71",2017,1946
"DE72",2017,801
"DE73",2017,260
"DE80",2017,567
"DE91",2017,1946
"DE92",2017,1052
"DE93",2017,1
"DE94",2017,545
"DEA1",2017,1352
"DEA2",2017,4122
"DEA3",2017,489
"DEA4",2017,538
"DEA5",2017,1487
"DEB1",2017,44
"DEB2",2017,153
"DEB3",2017,1148
"DEC0",2017,468
"DED2",2017,1477
"DED4",2017,310
"DED5",2017,925
"DEE0",2017,756
"DEF0",2017,1382
"DEG0",2017,997
"DK01",2017,6832
"DK02",2017,629
"DK03",2017,1498
"DK04",2017,2245
"DK05",2017,872
"EE00",2017,1076
"EL30",2017,2664
"EL41",2017,143
"EL42",2017,0
"EL43",2017,569
"EL51",2017,228
"EL52",2017,1536
"EL53",2017,77
"EL54",2017,257
"EL61",2017,278
"EL62",2017,51
"EL63",2017,726
"EL64",2017,50
"EL65",2017,47
"ES11",2017,3544
"ES12",2017,1261
"ES13",2017,656
"ES21",2017,3072
"ES22",2017,1015
"ES23",2017,515
"ES24",2017,1631
"ES30",2017,16109
"ES41",2017,3959
"ES42",2017,1291
"ES43",2017,816
"ES51",2017,16456
"ES52",2017,6495
"ES53",2017,544
"ES61",2017,11702
"ES62",2017,1648
"ES63",2017,22
"ES64",2017,19
"ES70",2017,1287
"FI19",2017,2185
"FI1B",2017,3785
"FI1C",2017,1374
"FI1D",2017,1625
"FI20",2017,0
"FR10",2017,13253
"FRB0",2017,615
"FRC1",2017,348
"FRC2",2017,280
"FRD1",2017,332
"FRD2",2017,316
"FRE1",2017,1358
"FRE2",2017,306
"FRF1",2017,1260
"FRF2",2017,252
"FRF3",2017,857
"FRG0",2017,1097
"FRH0",2017,1526
"FRI1",2017,1433
"FRI2",2017,200
"FRI3",2017,427
"FRJ1",2017,1725
"FRJ2",2017,1952
"FRK1",2017,484
"FRK2",2017,4423
"FRL0",2017,2269
"FRM0",2017,35
"FRY1",2017,0
"FRY2",2017,0
"FRY3",2017,0
"FRY4",2017,0
"FRY5",2017,0
"HR02",2017,235
"HR03",2017,1034
"HR05",2017,1839
"HR06",2017,58
"HU11",2017,2364
"HU12",2017,610
"HU21",2017,83
"HU22",2017,90
"HU23",2017,270
"HU31",2017,99
"HU32",2017,359
"HU33",2017,493
"IE04",2017,934
"IE05",2017,1710
"IE06",2017,4534
"IS00",2017,616
"ITC1",2017,2691
"ITC2",2017,17
"ITC3",2017,1139
"ITC4",2017,7966
"ITF1",2017,693
"ITF2",2017,121
"ITF3",2017,2590
"ITF4",2017,1251
"ITF5",2017,124
"ITF6",2017,501
"ITG1",2017,1622
"ITG2",2017,698
"ITH1",2017,582
"ITH2",2017,444
"ITH3",2017,3399
"ITH4",2017,1284
"ITH5",2017,4001
"ITI1",2017,4495
"ITI2",2017,4
"ITI3",2017,745
"ITI4",2017,6340
"LT01",2017,889
"LT02",2017,737
"LU00",2017,726
"LV00",2017,1016
"MT00",2017,306
"NL11",2017,1732
"NL12",2017,69
"NL13",2017,37
"NL21",2017,961
"NL22",2017,2701
"NL23",2017,20
"NL31",2017,2359
"NL32",2017,3743
"NL33",2017,4839
"NL34",2017,38
"NL41",2017,1431
"NL42",2017,1191
"NO02",2017,94
"NO06",2017,1282
"NO07",2017,621
"NO08",2017,2554
"NO09",2017,188
"NO0A",2017,1361
"NO0B",2017,25
"PL21",2017,4536
"PL22",2017,2569
"PL41",2017,2662
"PL42",2017,789
"PL43",2017,181
"PL51",2017,2790
"PL52",2017,363
"PL61",2017,996
"PL62",2017,555
"PL63",2017,1968
"PL71",2017,1830
"PL72",2017,231
"PL81",2017,1656
"PL82",2017,487
"PL84",2017,612
"PL91",2017,7289
"PL92",2017,250
"PT11",2017,11121
"PT15",2017,658
"PT16",2017,19095
