nuts2;year;flow_in;flow_out;gdp;score;ted;edu_index
AT33;2017;81;104;57526.55264;0.004;18.62751148;0.879
AT33;2018;37;28;60487.43654;0.004;20.8423075;0.88
AT33;2019;86;75;62095.02472;0.004;19.02716585;0.874
AT33;2020;43;44;57782.38329;0.004;19.19808311;0.890675015
AT34;2009;0;0;42341.3715;0;18.27876633;0.763
AT34;2010;0;0;43196.14583;0;18.24591002;0.778
AT34;2011;1;0;46254.87056;0;17.53323542;0.78
AT34;2012;1;0;48177.98821;0;18.01539326;0.786
AT34;2013;6;4;50681.95771;0;17.13698047;0.782
AT34;2014;7;8;52678.66721;0;18.06375576;0.795
AT34;2015;0;1;55864.80968;0;17.60633377;0.806
AT34;2016;7;3;56805.994;0;17.69720983;0.806
AT34;2017;8;3;59332.31886;0;18.06822628;0.809
AT34;2018;2;4;64276.06647;0;17.54758642;0.807
AT34;2019;4;9;61965.39002;0;18.89559794;0.804
AT34;2020;126;25;59878.79629;0;18.81382147;0.812999317
BE10;2009;235;189;71735.82809;0.016;21.49768193;0.883
BE10;2010;143;248;74894.58021;0.016;21.37505586;0.879
BE10;2011;32;23;74680.80887;0.016;21.09521989;0.882
BE10;2012;740;441;76803.91269;0.016;21.30321425;0.882
BE10;2013;43;48;78533.57586;0.016;21.71050937;0.885
BE10;2014;47;54;80499.02002;0.016;21.51972882;0.888
BE10;2015;68;61;82662.15878;0.016;21.70818969;0.896
BE10;2016;710;481;85301.22576;0.016;22.39089186;0.9
BE10;2017;72;83;88370.72972;0.016;21.5204967;0.906
BE10;2018;93;95;90730.82289;0.016;22.08464223;0.906
BE10;2019;464;393;93682.41256;0.016;21.13727058;0.907
BE10;2020;577;576;91666.73469;0.012;22.19268618;0.913666568
BE21;2009;11;14;43982.2946;0.008;20.10653193;0.87
BE21;2010;411;246;46420.28294;0.008;19.91289785;0.873
BE21;2011;311;242;47906.17804;0.008;20.27921864;0.873
BE21;2012;14;14;49582.27275;0.008;20.26645803;0.876
BE21;2013;24;19;51239.12611;0.008;20.48457602;0.881
BE21;2014;378;310;52417.96653;0.008;19.92743369;0.888
BE21;2015;30;31;54442.14687;0.008;20.21717552;0.894
BE21;2016;32;31;57421.66472;0.008;20.02305275;0.89
BE21;2017;94;75;59472.85606;0.008;21.02464094;0.898
BE21;2018;559;395;61790.81904;0.008;20.70328362;0.9
BE21;2019;185;141;63933.67988;0.008;20.78191336;0.903
BE21;2020;73;44;62987.37617;0.008;20.74902153;0.910465434
BE22;2009;2;7;29987.92814;0;19.69062486;0.861
BE22;2010;8;8;31943.8545;0;18.62962645;0.86
BE22;2011;25;16;33498.30494;0;18.64070096;0.864
BE22;2012;56;11;34391.62546;0;18.81125096;0.865
BE22;2013;10;18;35482.78467;0;19.12822749;0.869
BE22;2014;10;9;37066.99061;0;18.84418604;0.875
BE22;2015;10;8;37335.32549;0;19.03449294;0.883
BE22;2016;281;336;39517.35946;0;19.35083171;0.886
BE22;2017;52;28;41282.67666;0;18.4151876;0.893
BE22;2018;119;153;42888.56427;0;19.4925752;0.894
BE22;2019;21;14;43840.23763;0;19.64567312;0.898
BE22;2020;42;26;42616.99069;0;19.29823162;0.904853315
BE23;2009;144;97;33986.31855;0.008;19.86164962;0.872
BE23;2010;50;101;35772.33144;0.008;20.19671293;0.87
BE23;2011;161;127;36980.20761;0.008;19.76920889;0.876
BE23;2012;620;481;38280.43117;0.008;20.07929123;0.873
BE23;2013;33;25;39825.08349;0.008;20.36034916;0.885
BE23;2014;51;52;40561.52172;0.008;20.89266595;0.884
BE23;2015;1357;975;42205.15056;0.008;20.22654927;0.892
BE23;2016;305;225;44504.98735;0.008;20.09188767;0.898
BE23;2017;1368;1187;46572.01961;0.008;20.50017796;0.906
BE23;2018;592;514;47972.619;0.008;20.46500351;0.907
BE23;2019;1190;1312;49320.26734;0.008;20.75877509;0.908
BE23;2020;204;187;47977.61845;0.008;20.77230061;0.919986019
BE24;2009;32;39;40571.90277;0.028;19.42069396;0.888
BE24;2010;76;110;42113.24638;0.028;18.78188065;0.888
BE24;2011;300;383;43223.61928;0.028;19.68647839;0.888
BE24;2012;46;61;45328.89151;0.028;19.13933286;0.892
BE24;2013;92;78;46896.82729;0.028;19.43396356;0.903
BE24;2014;106;141;48049.80265;0.028;19.03556286;0.905
BE24;2015;420;429;49697.18912;0.028;18.94513469;0.91
BE24;2016;952;1011;52817.70051;0.028;18.67931361;0.918
BE24;2017;616;523;54828.55494;0.028;18.7336627;0.926
BE24;2018;306;228;56967.48506;0.028;19.00519542;0.907
BE24;2019;400;361;58845.08087;0.028;19.49715264;0.912
BE24;2020;1465;1183;57358.71703;0.028;19.46674923;0.927520441
BE25;2009;0;3;35515.11489;0;18.61797503;0.861
BE25;2010;2;2;37566.93001;0;19.18807954;0.863
BE25;2011;7;0;38781.19175;0;19.65333845;0.87
BE25;2012;28;0;40346.3592;0;18.74137232;0.869
BE25;2013;19;18;42058.26574;0;19.59867671;0.877
BE25;2014;5;2;43432.02941;0;19.33491501;0.877
BE25;2015;3;6;44452.76212;0;19.32036064;0.884
BE25;2016;8;3;47190.63314;0;19.66758169;0.891
BE25;2017;21;8;49023.17853;0;19.68513048;0.896
BE25;2018;46;36;50840.54731;0;19.28473823;0.896
BE25;2019;14;10;52582.18978;0;19.72269483;0.901
BE25;2020;17;7;50791.94802;0;19.58235174;0.902811247
BE31;2009;8;4;40336.70334;0;18.63584315;0.838
BE31;2010;5;11;45822.08342;0;17.31243939;0.839
BE31;2011;180;253;42983.48807;0;17.9241082;0.855
BE31;2012;42;35;45571.94187;0;19.20279635;0.848
BE31;2013;60;82;48261.54978;0;18.21010027;0.858
BE31;2014;73;84;50421.09161;0;17.80671048;0.872
BE31;2015;23;25;51320.46414;0;18.76530838;0.884
BE31;2016;599;494;55503.3463;0;18.29163757;0.877
BE31;2017;73;74;58569.79751;0;17.51693836;0.881
BE31;2018;26;26;65180.18886;0;18.28667036;0.906
BE31;2019;585;482;73197.53962;0;18.84199323;0.904
BE31;2020;2528;2845;72904.53753;0;18.18424624;0.916596212
BE32;2009;9;5;24107.94223;0;20.63404045;0.844
BE32;2010;4;3;25602.93956;0;20.06459716;0.852
BE32;2011;1;0;26654.56522;0;19.76993672;0.851
BE32;2012;2;3;27221.63994;0;19.9587474;0.853
BE32;2013;2;1;27914.77815;0;20.26109159;0.862
BE32;2014;4;3;28705.07691;0;19.77449227;0.864
BE32;2015;3;7;29343.81769;0;20.52021572;0.867
BE32;2016;6;6;30565.20683;0;19.47289366;0.875
BE32;2017;20;20;31736.05768;0;19.81457069;0.878
BE32;2018;16;21;33241.89632;0;19.59345675;0.879
BE32;2019;16;11;33793.51651;0;20.32746812;0.883
BE32;2020;10;10;32833.84503;0;20.03200274;0.889773485
BE33;2009;5;6;27635.93377;0.004;19.95551385;0.83
BE33;2010;16;30;28952.85689;0.008;19.8137183;0.83
BE33;2011;5;7;30136.46789;0.004;19.87816;0.836
BE33;2012;25;28;30502.81976;0.008;19.87470764;0.837
BE33;2013;27;16;31388.61721;0.008;20.259754;0.848
